longitude,latitude,timestamp,distance,cadence,fractional_cadence,heart_rate,time_elapsed,elevation,key
NA,NA,2021-05-20T19:31:22Z,0,41,0,111,128,0,6813993966
NA,NA,2021-05-20T19:31:23Z,0,41,0,111,129,0,6813993966
NA,NA,2021-05-20T19:31:24Z,0,41,0,112,130,0,6813993966
NA,NA,2021-05-20T19:31:25Z,0,41,0,112,131,0,6813993966
NA,NA,2021-05-20T19:31:26Z,0,41,0,112,132,0,6813993966
NA,NA,2021-05-20T19:31:27Z,0,41,0,112,133,0,6813993966
NA,NA,2021-05-20T19:31:28Z,0,41,0,112,134,0,6813993966
NA,NA,2021-05-20T19:31:29Z,0,40,0,112,135,0,6813993966
NA,NA,2021-05-20T19:31:30Z,0,40,0,112,136,0,6813993966
NA,NA,2021-05-20T19:31:31Z,0,40,0,113,137,0,6813993966
NA,NA,2021-05-20T19:31:32Z,0,40,0,112,138,0,6813993966
NA,NA,2021-05-20T19:31:33Z,0,41,0,112,139,0,6813993966
NA,NA,2021-05-20T19:31:34Z,0,41,0,111,140,0,6813993966
NA,NA,2021-05-20T19:31:35Z,0,41,0,111,141,0,6813993966
NA,NA,2021-05-20T19:31:36Z,0,41,0,111,142,0,6813993966
NA,NA,2021-05-20T19:31:37Z,0,40,0,111,143,0,6813993966
NA,NA,2021-05-20T19:31:38Z,0,40,0,111,144,0,6813993966
NA,NA,2021-05-20T19:31:39Z,0,41,0,111,145,0,6813993966
NA,NA,2021-05-20T19:31:40Z,0,41,0,111,146,0,6813993966
NA,NA,2021-05-20T19:31:41Z,0,41,0,111,147,0,6813993966
NA,NA,2021-05-20T19:31:42Z,0,41,0,111,148,0,6813993966
NA,NA,2021-05-20T19:31:43Z,0,41,0,111,149,0,6813993966
NA,NA,2021-05-20T19:31:44Z,0,41,0,111,150,0,6813993966
NA,NA,2021-05-20T19:31:45Z,0,41,0,111,151,0,6813993966
NA,NA,2021-05-20T19:31:46Z,0,41,0,111,152,0,6813993966
NA,NA,2021-05-20T19:31:47Z,0,41,0,111,153,0,6813993966
NA,NA,2021-05-20T19:31:48Z,0,40,0,111,154,0,6813993966
NA,NA,2021-05-20T19:31:49Z,0,40,0,111,155,0,6813993966
NA,NA,2021-05-20T19:31:50Z,0,40,0,111,156,0,6813993966
NA,NA,2021-05-20T19:31:51Z,0,40,0,111,157,0,6813993966
NA,NA,2021-05-20T19:31:52Z,0,40,0,111,158,0,6813993966
NA,NA,2021-05-20T19:31:53Z,0,40,0,111,159,0,6813993966
NA,NA,2021-05-20T19:31:54Z,0,40,0,111,160,0,6813993966
NA,NA,2021-05-20T19:31:55Z,0,40,0,111,161,0,6813993966
NA,NA,2021-05-20T19:31:56Z,0,40,0,111,162,0,6813993966
NA,NA,2021-05-20T19:31:57Z,0,41,0,111,163,0,6813993966
NA,NA,2021-05-20T19:31:58Z,0,41,0,111,164,0,6813993966
NA,NA,2021-05-20T19:31:59Z,0,41,0,111,165,0,6813993966
NA,NA,2021-05-20T19:32:00Z,0,41,0,111,166,0,6813993966
NA,NA,2021-05-20T19:32:01Z,0,41,0,111,167,0,6813993966
NA,NA,2021-05-20T19:32:02Z,0,41,0,111,168,0,6813993966
NA,NA,2021-05-20T19:32:03Z,0,40,0,111,169,0,6813993966
NA,NA,2021-05-20T19:32:04Z,0,40,0,111,170,0,6813993966
NA,NA,2021-05-20T19:32:05Z,0,40,0,111,171,0,6813993966
NA,NA,2021-05-20T19:32:06Z,0,41,0,111,172,0,6813993966
NA,NA,2021-05-20T19:32:07Z,0,41,0,111,173,0,6813993966
NA,NA,2021-05-20T19:32:08Z,0,41,0,111,174,0,6813993966
NA,NA,2021-05-20T19:32:09Z,0,41,0,111,175,0,6813993966
NA,NA,2021-05-20T19:32:10Z,0,41,0,111,176,0,6813993966
NA,NA,2021-05-20T19:32:11Z,0,82,0,111,177,0,6813993966
NA,NA,2021-05-20T19:32:12Z,0,82,0,109,178,0,6813993966
NA,NA,2021-05-20T19:32:13Z,0,82,0,109,179,0,6813993966
NA,NA,2021-05-20T19:32:14Z,0,82,0,108,180,0,6813993966
NA,NA,2021-05-20T19:32:15Z,0,81,0,108,181,0,6813993966
NA,NA,2021-05-20T19:32:16Z,0,81,0,105,182,0,6813993966
NA,NA,2021-05-20T19:32:17Z,0,81,0,105,183,0,6813993966
NA,NA,2021-05-20T19:32:18Z,0,81,0,105,184,0,6813993966
NA,NA,2021-05-20T19:32:19Z,0,81,0,105,185,0,6813993966
NA,NA,2021-05-20T19:32:20Z,0,82,0,104,186,0,6813993966
NA,NA,2021-05-20T19:32:21Z,0,82,0,104,187,0,6813993966
NA,NA,2021-05-20T19:32:22Z,0,82,0,104,188,0,6813993966
NA,NA,2021-05-20T19:32:23Z,0,82,0,104,189,0,6813993966
NA,NA,2021-05-20T19:32:24Z,0,81,0,104,190,0,6813993966
NA,NA,2021-05-20T19:32:25Z,0,81,0,104,191,0,6813993966
NA,NA,2021-05-20T19:32:26Z,0,81,0,104,192,0,6813993966
NA,NA,2021-05-20T19:32:27Z,0,81,0,104,193,0,6813993966
NA,NA,2021-05-20T19:32:28Z,0,81,0,103,194,0,6813993966
NA,NA,2021-05-20T19:32:29Z,0,81,0,103,195,0,6813993966
NA,NA,2021-05-20T19:32:30Z,0,81,0,103,196,0,6813993966
NA,NA,2021-05-20T19:32:31Z,0,81,0,103,197,0,6813993966
NA,NA,2021-05-20T19:32:32Z,0,81,0,103,198,0,6813993966
NA,NA,2021-05-20T19:32:33Z,0,81,0,103,199,0,6813993966
NA,NA,2021-05-20T19:32:34Z,0,84,0,103,200,0,6813993966
NA,NA,2021-05-20T19:32:35Z,0,84,0,103,201,0,6813993966
NA,NA,2021-05-20T19:32:36Z,0,84,0,103,202,0,6813993966
NA,NA,2021-05-20T19:32:37Z,0,84,0,103,203,0,6813993966
NA,NA,2021-05-20T19:32:38Z,0,84,0,103,204,0,6813993966
NA,NA,2021-05-20T19:32:39Z,0,84,0,103,205,0,6813993966
NA,NA,2021-05-20T19:32:40Z,0,84,0,103,206,0,6813993966
NA,NA,2021-05-20T19:32:41Z,0,83,0,103,207,0,6813993966
NA,NA,2021-05-20T19:32:42Z,0,83,0,103,208,0,6813993966
NA,NA,2021-05-20T19:32:43Z,0,83,0,103,209,0,6813993966
NA,NA,2021-05-20T19:32:44Z,0,83,0,103,210,0,6813993966
NA,NA,2021-05-20T19:32:45Z,0,83,0,103,211,0,6813993966
NA,NA,2021-05-20T19:32:46Z,0,83,0,103,212,0,6813993966
NA,NA,2021-05-20T19:32:47Z,0,83,0,104,213,0,6813993966
NA,NA,2021-05-20T19:32:48Z,0,83,0,108,214,0,6813993966
NA,NA,2021-05-20T19:32:49Z,0,83,0,109,215,0,6813993966
NA,NA,2021-05-20T19:32:50Z,0,83,0,111,216,0,6813993966
NA,NA,2021-05-20T19:32:51Z,0,83,0,114,217,0,6813993966
NA,NA,2021-05-20T19:32:52Z,0,83,0,114,218,0,6813993966
NA,NA,2021-05-20T19:32:53Z,0,83,0,114,219,0,6813993966
NA,NA,2021-05-20T19:32:54Z,0,83,0,114,220,0,6813993966
NA,NA,2021-05-20T19:32:55Z,0,83,0,115,221,0,6813993966
NA,NA,2021-05-20T19:32:56Z,0,83,0,115,222,0,6813993966
NA,NA,2021-05-20T19:32:57Z,0,83,0,115,223,0,6813993966
NA,NA,2021-05-20T19:32:58Z,0,83,0,115,224,0,6813993966
NA,NA,2021-05-20T19:32:59Z,0,83,0,115,225,0,6813993966
NA,NA,2021-05-20T19:33:00Z,0,83,0,115,226,0,6813993966
NA,NA,2021-05-20T19:33:01Z,0,83,0,116,227,0,6813993966
NA,NA,2021-05-20T19:33:02Z,0,83,0,116,228,0,6813993966
NA,NA,2021-05-20T19:33:03Z,0,83,0,116,229,0,6813993966
