timestamp,distance,altitude,cadence,fractional_cadence,heart_rate,key
2018-03-12T19:06:14Z,0,313,58,0.5,115,2018-03-12 19:03:45
2018-03-12T19:06:15Z,0,313,58,0.5,115,2018-03-12 19:03:45
2018-03-12T19:06:16Z,0,313,58,0.5,115,2018-03-12 19:03:45
2018-03-12T19:06:17Z,0,313,58,0.5,115,2018-03-12 19:03:45
2018-03-12T19:06:18Z,0,313,58,0.5,117,2018-03-12 19:03:45
2018-03-12T19:06:19Z,0,313,58,0.5,118,2018-03-12 19:03:45
2018-03-12T19:06:20Z,0,313,58,0.5,118,2018-03-12 19:03:45
2018-03-12T19:06:21Z,0,313,58,0.5,117,2018-03-12 19:03:45
2018-03-12T19:06:22Z,0,313,58,0.5,114,2018-03-12 19:03:45
2018-03-12T19:06:23Z,0,313,58,0.5,115,2018-03-12 19:03:45
2018-03-12T19:06:24Z,0,313,58,0.5,115,2018-03-12 19:03:45
2018-03-12T19:06:25Z,0,313,58,0.5,114,2018-03-12 19:03:45
2018-03-12T19:06:26Z,0,313,58,0.5,110,2018-03-12 19:03:45
2018-03-12T19:06:27Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:28Z,0,313,0,0,112,2018-03-12 19:03:45
2018-03-12T19:06:29Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:30Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:31Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:32Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:33Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:34Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:35Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:36Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:37Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:38Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:39Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:40Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:41Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:42Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:06:43Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:06:44Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:06:45Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:06:46Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:06:47Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:06:48Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:49Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:06:50Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:51Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:52Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:53Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:06:54Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:06:55Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:06:56Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:06:57Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:06:58Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:06:59Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:07:00Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:07:01Z,0,313,0,0,111,2018-03-12 19:03:45
2018-03-12T19:07:02Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:07:03Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:07:04Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:07:05Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:07:06Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:07:07Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:07:08Z,0,313,0,0,109,2018-03-12 19:03:45
2018-03-12T19:07:09Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:07:10Z,0,313,0,0,108,2018-03-12 19:03:45
2018-03-12T19:07:11Z,0,313,0,0,107,2018-03-12 19:03:45
2018-03-12T19:07:12Z,0,313,58,0.5,107,2018-03-12 19:03:45
2018-03-12T19:07:13Z,0,313,58,0.5,106,2018-03-12 19:03:45
2018-03-12T19:07:14Z,0,313,58,0.5,105,2018-03-12 19:03:45
2018-03-12T19:07:15Z,0,313,0,0,107,2018-03-12 19:03:45
2018-03-12T19:07:16Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:07:17Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:07:18Z,0,313,0,0,112,2018-03-12 19:03:45
2018-03-12T19:07:19Z,0,313,0,0,112,2018-03-12 19:03:45
2018-03-12T19:07:20Z,0,313,58,0.5,110,2018-03-12 19:03:45
2018-03-12T19:07:21Z,0,313,58,0.5,111,2018-03-12 19:03:45
2018-03-12T19:07:22Z,0,313,0,0,112,2018-03-12 19:03:45
2018-03-12T19:07:23Z,0,313,0,0,112,2018-03-12 19:03:45
2018-03-12T19:07:24Z,0,313,0,0,113,2018-03-12 19:03:45
2018-03-12T19:07:25Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:07:26Z,0,313,0,0,113,2018-03-12 19:03:45
2018-03-12T19:07:27Z,0,313,0,0,115,2018-03-12 19:03:45
2018-03-12T19:07:28Z,0,313,0,0,117,2018-03-12 19:03:45
2018-03-12T19:07:29Z,0,313,0,0,116,2018-03-12 19:03:45
2018-03-12T19:07:30Z,0,313,0,0,116,2018-03-12 19:03:45
2018-03-12T19:07:31Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:07:32Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:07:33Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:07:34Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:07:35Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:07:36Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:07:37Z,0,313,0,0,114,2018-03-12 19:03:45
