timestamp,distance,speed,cadence,fractional_cadence,heart_rate,time_elapsed,key
2021-07-26T00:36:38Z,494.68,3.742,84,0.5,113,95,7190110060
2021-07-26T00:36:39Z,498.42,3.732,84,0.5,113,96,7190110060
2021-07-26T00:36:40Z,502.14,3.723,85,0.5,113,97,7190110060
2021-07-26T00:36:41Z,505.86,3.723,85,0.5,113,98,7190110060
2021-07-26T00:36:42Z,509.58,3.723,85,0.5,111,99,7190110060
2021-07-26T00:36:43Z,513.3,3.723,85,0.5,110,100,7190110060
2021-07-26T00:36:44Z,517.03,3.723,86,0,110,101,7190110060
2021-07-26T00:36:45Z,520.75,3.723,86,0,109,102,7190110060
2021-07-26T00:36:46Z,524.47,3.723,86,0,109,103,7190110060
2021-07-26T00:36:47Z,528.2,3.723,86,0,109,104,7190110060
2021-07-26T00:36:48Z,531.92,3.723,86,0,109,105,7190110060
2021-07-26T00:36:49Z,535.67,3.751,86,0,109,106,7190110060
2021-07-26T00:36:50Z,539.43,3.751,86,0,110,107,7190110060
2021-07-26T00:36:51Z,542.95,3.527,86,0,110,108,7190110060
2021-07-26T00:36:52Z,546.44,3.49,86,0,110,109,7190110060
2021-07-26T00:36:53Z,549.76,3.322,85,0,110,110,7190110060
2021-07-26T00:36:54Z,553.13,3.368,85,0,111,111,7190110060
2021-07-26T00:36:55Z,556.39,3.266,85,0,111,112,7190110060
2021-07-26T00:36:56Z,559.7,3.303,85,0,111,113,7190110060
2021-07-26T00:36:57Z,563.1,3.396,84,0.5,111,114,7190110060
2021-07-26T00:36:58Z,566.56,3.462,84,0.5,111,115,7190110060
2021-07-26T00:36:59Z,570.06,3.508,84,0.5,111,116,7190110060
2021-07-26T00:37:00Z,573.57,3.508,84,0.5,111,117,7190110060
2021-07-26T00:37:01Z,577.07,3.499,86,0,111,118,7190110060
2021-07-26T00:37:02Z,580.59,3.518,86,0,111,119,7190110060
2021-07-26T00:37:03Z,584.26,3.667,86,0,112,120,7190110060
2021-07-26T00:37:04Z,588.15,3.891,85,0.5,113,121,7190110060
2021-07-26T00:37:05Z,592.12,3.975,85,0.5,113,122,7190110060
2021-07-26T00:37:06Z,596.12,3.994,85,0.5,113,123,7190110060
2021-07-26T00:37:07Z,600.11,3.994,85,0.5,113,124,7190110060
2021-07-26T00:37:08Z,604.12,4.003,85,0.5,113,125,7190110060
2021-07-26T00:37:09Z,607.99,3.882,85,0.5,112,126,7190110060
2021-07-26T00:37:10Z,611.78,3.788,85,0.5,112,127,7190110060
2021-07-26T00:37:11Z,615.49,3.704,85,0.5,112,128,7190110060
2021-07-26T00:37:12Z,619.26,3.77,85,0.5,111,129,7190110060
2021-07-26T00:37:13Z,623.08,3.816,85,0.5,111,130,7190110060
2021-07-26T00:37:14Z,626.93,3.854,85,0.5,111,131,7190110060
2021-07-26T00:37:15Z,630.76,3.835,85,0.5,111,132,7190110060
2021-07-26T00:37:16Z,634.58,3.816,85,0.5,110,133,7190110060
2021-07-26T00:37:17Z,638.42,3.844,86,0,110,134,7190110060
2021-07-26T00:37:18Z,642.25,3.826,86,0,111,135,7190110060
2021-07-26T00:37:19Z,646.15,3.9,86,0,111,136,7190110060
2021-07-26T00:37:20Z,649.99,3.844,85,0.5,111,137,7190110060
2021-07-26T00:37:21Z,653.8,3.807,85,0.5,111,138,7190110060
2021-07-26T00:37:22Z,657.58,3.779,85,0.5,111,139,7190110060
2021-07-26T00:37:23Z,661.34,3.76,85,0.5,111,140,7190110060
2021-07-26T00:37:24Z,665.02,3.686,85,0.5,111,141,7190110060
2021-07-26T00:37:25Z,668.65,3.62,85,0.5,111,142,7190110060
2021-07-26T00:37:26Z,672.2,3.555,85,0.5,112,143,7190110060
2021-07-26T00:37:27Z,675.73,3.527,85,0.5,112,144,7190110060
2021-07-26T00:37:28Z,679.24,3.508,85,0.5,112,145,7190110060
2021-07-26T00:37:29Z,682.85,3.62,85,0.5,112,146,7190110060
2021-07-26T00:37:30Z,686.65,3.798,85,0.5,112,147,7190110060
2021-07-26T00:37:31Z,690.73,4.078,85,0.5,112,148,7190110060
2021-07-26T00:37:32Z,694.78,4.05,84,0.5,112,149,7190110060
2021-07-26T00:37:33Z,698.64,3.863,84,0.5,112,150,7190110060
2021-07-26T00:37:34Z,702.31,3.667,84,0.5,112,151,7190110060
2021-07-26T00:37:35Z,705.58,3.266,85,0.5,112,152,7190110060
2021-07-26T00:37:36Z,708.73,3.154,85,0.5,112,153,7190110060
2021-07-26T00:37:37Z,711.97,3.247,85,0.5,112,154,7190110060
2021-07-26T00:37:38Z,715.23,3.256,85,0.5,112,155,7190110060
2021-07-26T00:37:39Z,718.5,3.266,85,0.5,112,156,7190110060
2021-07-26T00:37:40Z,721.74,3.247,85,0.5,112,157,7190110060
2021-07-26T00:37:41Z,724.86,3.116,85,0.5,112,158,7190110060
2021-07-26T00:37:42Z,728.21,3.35,85,0.5,112,159,7190110060
2021-07-26T00:37:43Z,731.28,3.07,85,0.5,111,160,7190110060
2021-07-26T00:37:44Z,734.33,3.051,85,0.5,111,161,7190110060
2021-07-26T00:37:45Z,737.37,3.042,84,0.5,111,162,7190110060
2021-07-26T00:37:46Z,740.47,3.098,84,0.5,110,163,7190110060
2021-07-26T00:37:47Z,743.61,3.135,85,0.5,109,164,7190110060
2021-07-26T00:37:48Z,747.1,3.499,85,0.5,108,165,7190110060
2021-07-26T00:37:49Z,750.72,3.62,85,0.5,109,166,7190110060
2021-07-26T00:37:50Z,754.36,3.639,84,0.5,110,167,7190110060
2021-07-26T00:37:51Z,758.02,3.658,84,0.5,110,168,7190110060
2021-07-26T00:37:52Z,761.69,3.667,84,0.5,111,169,7190110060
2021-07-26T00:37:53Z,765.36,3.667,84,0.5,111,170,7190110060
2021-07-26T00:37:54Z,769.05,3.695,85,0.5,111,171,7190110060
2021-07-26T00:37:55Z,772.97,3.919,84,0.5,112,172,7190110060
2021-07-26T00:37:56Z,776.94,3.975,85,0.5,111,173,7190110060
2021-07-26T00:37:57Z,780.94,3.994,84,0.5,111,174,7190110060
2021-07-26T00:37:58Z,784.84,3.9,85,0.5,112,175,7190110060
2021-07-26T00:37:59Z,788.68,3.844,85,0.5,111,176,7190110060
2021-07-26T00:38:00Z,792.5,3.816,85,0.5,112,177,7190110060
2021-07-26T00:38:01Z,796.3,3.798,85,0.5,113,178,7190110060
2021-07-26T00:38:02Z,800.09,3.788,85,0.5,113,179,7190110060
2021-07-26T00:38:03Z,803.86,3.779,85,0.5,113,180,7190110060
2021-07-26T00:38:04Z,807.63,3.77,85,0.5,114,181,7190110060
2021-07-26T00:38:05Z,811.39,3.76,85,0.5,114,182,7190110060
2021-07-26T00:38:06Z,815.14,3.751,85,0.5,114,183,7190110060
2021-07-26T00:38:07Z,818.88,3.732,84,0.5,114,184,7190110060
2021-07-26T00:38:08Z,822.58,3.704,85,0.5,114,185,7190110060
2021-07-26T00:38:09Z,826.28,3.704,86,0,114,186,7190110060
2021-07-26T00:38:10Z,829.99,3.704,86,0,114,187,7190110060
2021-07-26T00:38:11Z,833.7,3.714,86,0,114,188,7190110060
2021-07-26T00:38:12Z,837.42,3.714,86,0,114,189,7190110060
2021-07-26T00:38:13Z,841.13,3.714,85,0.5,114,190,7190110060
2021-07-26T00:38:14Z,844.84,3.714,85,0.5,114,191,7190110060
2021-07-26T00:38:15Z,848.51,3.667,85,0.5,113,192,7190110060
2021-07-26T00:38:16Z,852.05,3.536,85,0.5,113,193,7190110060
2021-07-26T00:38:17Z,855.5,3.452,85,0.5,113,194,7190110060
2021-07-26T00:38:18Z,858.93,3.434,84,0.5,113,195,7190110060
2021-07-26T00:38:19Z,862.41,3.48,84,0.5,113,196,7190110060
2021-07-26T00:38:20Z,865.87,3.452,85,0.5,113,197,7190110060
2021-07-26T00:38:21Z,869.3,3.434,85,0.5,113,198,7190110060
2021-07-26T00:38:22Z,872.72,3.415,85,0.5,113,199,7190110060
2021-07-26T00:38:23Z,876.14,3.424,85,0.5,113,200,7190110060
2021-07-26T00:38:24Z,879.58,3.443,85,0.5,113,201,7190110060
2021-07-26T00:38:25Z,883.08,3.499,85,0.5,112,202,7190110060
2021-07-26T00:38:26Z,886.65,3.564,85,0.5,113,203,7190110060
2021-07-26T00:38:27Z,890.26,3.611,85,0.5,112,204,7190110060
2021-07-26T00:38:28Z,893.9,3.639,85,0.5,111,205,7190110060
2021-07-26T00:38:29Z,897.55,3.658,85,0.5,111,206,7190110060
2021-07-26T00:38:30Z,901.35,3.798,85,0.5,111,207,7190110060
2021-07-26T00:38:31Z,905.27,3.919,85,0.5,112,208,7190110060
2021-07-26T00:38:32Z,909.37,4.096,85,0.5,112,209,7190110060
2021-07-26T00:38:33Z,913.55,4.18,85,0.5,112,210,7190110060
2021-07-26T00:38:34Z,917.69,4.143,85,0.5,112,211,7190110060
2021-07-26T00:38:35Z,921.71,4.022,85,0.5,112,212,7190110060
2021-07-26T00:38:36Z,925.66,3.947,85,0.5,112,213,7190110060
2021-07-26T00:38:37Z,929.46,3.798,85,0.5,112,214,7190110060
2021-07-26T00:38:38Z,933.15,3.695,85,0.5,112,215,7190110060
2021-07-26T00:38:39Z,936.75,3.602,85,0.5,112,216,7190110060
2021-07-26T00:38:40Z,940.38,3.63,85,0.5,112,217,7190110060
2021-07-26T00:38:41Z,944.03,3.648,86,0,112,218,7190110060
2021-07-26T00:38:42Z,947.71,3.676,86,0,112,219,7190110060
2021-07-26T00:38:43Z,951.39,3.686,86,0,113,220,7190110060
2021-07-26T00:38:44Z,955.15,3.76,86,0,113,221,7190110060
2021-07-26T00:38:45Z,958.95,3.798,85,0.5,113,222,7190110060
2021-07-26T00:38:46Z,962.73,3.779,85,0.5,113,223,7190110060
2021-07-26T00:38:47Z,966.5,3.77,85,0.5,113,224,7190110060
2021-07-26T00:38:48Z,970.25,3.751,85,0.5,113,225,7190110060
2021-07-26T00:38:49Z,973.92,3.667,85,0.5,113,226,7190110060
2021-07-26T00:38:50Z,977.48,3.564,86,0,112,227,7190110060
2021-07-26T00:38:51Z,980.94,3.462,86,0,112,228,7190110060
