timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,time_elapsed,key
2021-08-04T13:35:45Z,44.988043550401926,-93.21543677709997,205.66,255.39999999999998,4.563,95,34,7244820897
2021-08-04T13:35:46Z,44.98804363422096,-93.21551045402884,211.47,254.60000000000002,5.449,94,35,7244820897
2021-08-04T13:35:47Z,44.988042460754514,-93.21558320894837,217.21,254,5.682,94,36,7244820897
2021-08-04T13:35:48Z,44.98804019764066,-93.21565948426723,223.23,253.39999999999998,5.953,95,37,7244820897
2021-08-04T13:35:49Z,44.988034162670374,-93.2157476618886,230.2,253.20000000000005,6.336,96,38,7244820897
2021-08-04T13:35:50Z,44.98802955262363,-93.21582988835871,236.7,252.79999999999995,6.466,97,39,7244820897
2021-08-04T13:35:51Z,44.98802527785301,-93.21591085754335,243.1,252.39999999999998,6.41,101,40,7244820897
2021-08-04T13:35:52Z,44.988019997254014,-93.21600205264986,250.3,252.20000000000005,6.615,103,41,7244820897
2021-08-04T13:35:53Z,44.98801672831178,-93.21609257720411,257.45,252,6.746,104,42,7244820897
2021-08-04T13:35:54Z,44.98801496811211,-93.2161808386445,264.41,251.79999999999995,6.718,105,43,7244820897
2021-08-04T13:35:55Z,44.9880157224834,-93.21627060882747,271.49,251.20000000000005,6.746,106,44,7244820897
2021-08-04T13:35:56Z,44.988015219569206,-93.21635928936303,278.48,250.60000000000002,6.765,107,45,7244820897
2021-08-04T13:35:57Z,44.988014632835984,-93.21645098738372,285.71,250,6.923,108,46,7244820897
2021-08-04T13:35:58Z,44.98801211826503,-93.21654100902379,292.82,249.60000000000002,6.709,109,47,7244820897
2021-08-04T13:35:59Z,44.98801102861762,-93.2166266720742,299.58,249,6.503,109,48,7244820897
2021-08-04T13:36:00Z,44.988008262589574,-93.21671392768621,306.47,248.39999999999998,6.699,109,49,7244820897
2021-08-04T13:36:01Z,44.98800499364734,-93.21680000983179,313.26,248,6.578,110,50,7244820897
2021-08-04T13:36:02Z,44.98799912631512,-93.21688609197736,320.08,247.79999999999995,6.354,110,51,7244820897
2021-08-04T13:36:03Z,44.9879966955632,-93.2169699948281,326.7,247.39999999999998,6.597,110,52,7244820897
2021-08-04T13:36:04Z,44.987994180992246,-93.21705473586917,333.38,247,6.55,111,53,7244820897
2021-08-04T13:36:05Z,44.987990241497755,-93.21714350022376,340.4,247,6.55,111,54,7244820897
2021-08-04T13:36:06Z,44.98798890039325,-93.21722455322742,346.79,246.60000000000002,6.233,112,55,7244820897
2021-08-04T13:36:07Z,44.98798646964133,-93.21730786934495,353.37,246.39999999999998,6.308,112,56,7244820897
2021-08-04T13:36:08Z,44.98798328451812,-93.21739403530955,360.17,246,6.457,111,57,7244820897
2021-08-04T13:36:09Z,44.987980015575886,-93.21747525595129,366.58,245.60000000000002,6.317,111,58,7244820897
2021-08-04T13:36:10Z,44.9879774171859,-93.21755873970687,373.18,245.20000000000005,6.485,111,59,7244820897
2021-08-04T13:36:11Z,44.987973561510444,-93.21765144355595,380.49,245.20000000000005,6.671,110,60,7244820897
2021-08-04T13:36:12Z,44.98797012493014,-93.21774297393858,387.72,245.39999999999998,6.531,110,61,7244820897
2021-08-04T13:36:13Z,44.98796643689275,-93.217833917588,394.89,245.39999999999998,6.569,110,62,7244820897
2021-08-04T13:36:14Z,44.98796408995986,-93.2179216761142,401.82,245.39999999999998,6.438,110,63,7244820897
2021-08-04T13:36:15Z,44.987961826846,-93.21800298057497,408.24,245.20000000000005,6.28,110,64,7244820897
2021-08-04T13:36:16Z,44.987959396094084,-93.21808537468314,414.74,245,6.466,111,65,7244820897
2021-08-04T13:36:17Z,44.98795788735151,-93.21816843934357,421.29,244.60000000000002,6.401,111,66,7244820897
2021-08-04T13:36:18Z,44.98795537278056,-93.21825116872787,427.82,244.20000000000005,6.559,111,67,7244820897
2021-08-04T13:36:19Z,44.987954534590244,-93.21833381429315,434.33,244,6.503,111,68,7244820897
2021-08-04T13:36:20Z,44.98795470222831,-93.2184190582484,441.06,243.60000000000002,6.615,111,69,7244820897
2021-08-04T13:36:21Z,44.98795319348574,-93.218505224213,447.86,243.20000000000005,6.662,110,70,7244820897
2021-08-04T13:36:22Z,44.987951600924134,-93.21859298273921,454.78,243,6.821,109,71,7244820897
2021-08-04T13:36:23Z,44.98795051127672,-93.21868266910315,461.85,242.79999999999995,6.821,109,72,7244820897
2021-08-04T13:36:24Z,44.98794782906771,-93.21876950562,468.7,242.60000000000002,6.783,109,73,7244820897
2021-08-04T13:36:25Z,44.98794321902096,-93.2188614550978,475.96,242.79999999999995,6.718,108,74,7244820897
2021-08-04T13:36:26Z,44.98794129118323,-93.2189542427659,483.27,242.79999999999995,6.886,108,75,7244820897
2021-08-04T13:36:27Z,44.98793978244066,-93.21904577314854,490.49,242.60000000000002,7.026,109,76,7244820897
