timestamp,distance,speed,heart_rate,cadence,time_elapsed,elevation,latitude,longitude,key
2022-07-04T12:18:01Z,361,2.902,131,85,130,100.49,38.90715359710157,-77.26929967291653,9138476416
2022-07-04T12:18:02Z,363.66,2.902,131,84,131,100.49,38.907169941812754,-77.26932213641703,9138476416
2022-07-04T12:18:03Z,366.25,2.902,131,84,132,100.32,38.90718310140073,-77.26934694685042,9138476416
2022-07-04T12:18:04Z,369.01,2.902,131,84,133,100.33,38.90719810500741,-77.26937251165509,9138476416
2022-07-04T12:18:05Z,372.04,2.893,131,84,134,100.15,38.90721629373729,-77.26939857937396,9138476416
2022-07-04T12:18:06Z,374.98,2.893,130,84,135,100.33,38.90723272226751,-77.26942506618798,9138476416
2022-07-04T12:18:07Z,377.99,2.893,130,84,136,100.28,38.90724747441709,-77.26945423521101,9138476416
2022-07-04T12:18:08Z,380.56,2.893,130,85,137,100.15,38.9072520006448,-77.26948373951018,9138476416
2022-07-04T12:18:09Z,383.13,2.893,130,85,138,100.21,38.90726021490991,-77.26951148360968,9138476416
2022-07-04T12:18:10Z,385.72,2.883,130,85,139,100.2,38.907269183546305,-77.26953922770917,9138476416
2022-07-04T12:18:11Z,388.26,2.874,130,85,140,100.19,38.907279493287206,-77.26956563070416,9138476416
2022-07-04T12:18:12Z,390.92,2.865,130,85,141,100.12,38.907293155789375,-77.26959077641368,9138476416
2022-07-04T12:18:13Z,393.38,2.855,130,85,142,100.1,38.907301956787705,-77.26961692795157,9138476416
2022-07-04T12:18:14Z,395.81,2.855,129,85,143,100.09,38.90731008723378,-77.2696429118514,9138476416
2022-07-04T12:18:15Z,398.4,2.837,129,84,144,100.09,38.907321486622095,-77.2696690633893,9138476416
2022-07-04T12:18:16Z,400.82,2.837,129,83,145,100.08,38.90733405947685,-77.26969236508012,9138476416
2022-07-04T12:18:17Z,403.02,2.827,129,83,146,100.08,38.9073489792645,-77.26970938034356,9138476416
2022-07-04T12:18:18Z,404.08,2.818,129,83,147,100.08,38.90735828317702,-77.26971306838095,9138476416
2022-07-04T12:18:19Z,405.44,2.799,129,83,148,100.12,38.90736867673695,-77.26970451883972,9138476416
2022-07-04T12:18:20Z,407.27,2.781,129,84,149,100.12,38.907374292612076,-77.2696846537292,9138476416
2022-07-04T12:18:21Z,409.6,2.753,129,84,150,100.04,38.90737286768854,-77.26965783163905,9138476416
2022-07-04T12:18:22Z,412.12,2.715,128,84,151,99.66,38.907365994527936,-77.26963017135859,9138476416
2022-07-04T12:18:23Z,414.75,2.697,128,84,152,99.73,38.90735551714897,-77.26960293017328,9138476416
2022-07-04T12:18:24Z,417.41,2.669,128,83,153,99.73,38.90734311193228,-77.26957677863538,9138476416
2022-07-04T12:18:25Z,420.21,2.659,128,83,154,99.3,38.90732861123979,-77.26954995654523,9138476416
2022-07-04T12:18:26Z,422.85,2.65,128,83,155,99.98,38.907315954566,-77.2695242241025,9138476416
2022-07-04T12:18:27Z,425.36,2.65,128,83,156,99.98,38.90730371698737,-77.2694999165833,9138476416
2022-07-04T12:18:28Z,427.93,2.641,128,83,157,99.6,38.90729156322777,-77.26947468705475,9138476416
2022-07-04T12:18:29Z,430.51,2.622,128,84,158,100.15,38.90727781690657,-77.26945063099265,9138476416
2022-07-04T12:18:30Z,433.17,2.613,128,84,159,99.89,38.90726222656667,-77.26942732930183,9138476416
2022-07-04T12:18:31Z,435.77,2.594,127,84,160,100.15,38.90724646858871,-77.26940511725843,9138476416
2022-07-04T12:18:32Z,438.39,2.594,127,83,161,100.15,38.907229620963335,-77.2693839110434,9138476416
2022-07-04T12:18:33Z,440.99,2.585,127,83,162,99.65,38.90721218660474,-77.2693637944758,9138476416
2022-07-04T12:18:34Z,443.41,2.575,127,83,163,100.32,38.90719668008387,-77.26934409700334,9138476416
2022-07-04T12:18:35Z,445.8,2.575,127,83,164,100.05,38.907182179391384,-77.2693236451596,9138476416
2022-07-04T12:18:36Z,448.27,2.557,126,83,165,100.49,38.907165667042136,-77.26930453442037,9138476416
2022-07-04T12:18:37Z,450.92,2.538,126,83,166,100.43,38.90714672394097,-77.26928567513824,9138476416
2022-07-04T12:18:38Z,453.65,2.538,126,83,167,100.66,38.90712811611593,-77.26926488801837,9138476416
2022-07-04T12:18:39Z,456.28,2.547,126,83,168,100.52,38.90711110085249,-77.26924376562238,9138476416
2022-07-04T12:18:40Z,458.68,2.557,126,84,169,100.52,38.90709592960775,-77.26922398433089,9138476416
2022-07-04T12:18:41Z,461.03,2.557,126,84,170,100.42,38.907080590724945,-77.26920520886779,9138476416
2022-07-04T12:18:42Z,463.28,2.538,126,84,171,100.42,38.90706357546151,-77.26918970234692,9138476416
2022-07-04T12:18:43Z,465.74,2.529,126,84,172,100.65,38.90704471617937,-77.2691732738167,9138476416
2022-07-04T12:18:44Z,468.38,2.529,126,84,173,100.65,38.90702468343079,-77.26915583945811,9138476416
2022-07-04T12:18:45Z,471.07,2.519,126,84,174,100.72,38.907006829977036,-77.26913471706212,9138476416
