longitude,latitude,timestamp,distance,heart_rate,cadence,fractional_cadence,time_elapsed,elevation,key
NA,NA,2021-05-17T12:18:26Z,0,138,41,0,116,0,6794759057
NA,NA,2021-05-17T12:18:27Z,0,138,41,0,117,0,6794759057
NA,NA,2021-05-17T12:18:28Z,0,138,40,0,118,0,6794759057
NA,NA,2021-05-17T12:18:29Z,0,138,40,0,119,0,6794759057
NA,NA,2021-05-17T12:18:30Z,0,138,40,0,120,0,6794759057
NA,NA,2021-05-17T12:18:31Z,0,138,40,0,121,0,6794759057
NA,NA,2021-05-17T12:18:32Z,0,138,83,0,122,0,6794759057
NA,NA,2021-05-17T12:18:33Z,0,138,83,0,123,0,6794759057
NA,NA,2021-05-17T12:18:34Z,0,138,83,0,124,0,6794759057
NA,NA,2021-05-17T12:18:35Z,0,137,83,0,125,0,6794759057
NA,NA,2021-05-17T12:18:36Z,0,137,83,0,126,0,6794759057
NA,NA,2021-05-17T12:18:37Z,0,137,83,0,127,0,6794759057
NA,NA,2021-05-17T12:18:38Z,0,137,83,0,128,0,6794759057
NA,NA,2021-05-17T12:18:39Z,0,137,40,0,129,0,6794759057
NA,NA,2021-05-17T12:18:40Z,0,137,40,0,130,0,6794759057
NA,NA,2021-05-17T12:18:41Z,0,138,40,0,131,0,6794759057
NA,NA,2021-05-17T12:18:42Z,0,138,41,0,132,0,6794759057
NA,NA,2021-05-17T12:18:43Z,0,138,41,0,133,0,6794759057
NA,NA,2021-05-17T12:18:44Z,0,139,40,0,134,0,6794759057
NA,NA,2021-05-17T12:18:45Z,0,139,40,0,135,0,6794759057
NA,NA,2021-05-17T12:18:46Z,0,139,40,0,136,0,6794759057
NA,NA,2021-05-17T12:18:47Z,0,139,41,0,137,0,6794759057
NA,NA,2021-05-17T12:18:48Z,0,140,41,0,138,0,6794759057
NA,NA,2021-05-17T12:18:49Z,0,140,40,0,139,0,6794759057
NA,NA,2021-05-17T12:18:50Z,0,140,40,0,140,0,6794759057
NA,NA,2021-05-17T12:18:51Z,0,140,40,0,141,0,6794759057
NA,NA,2021-05-17T12:18:52Z,0,139,41,0,142,0,6794759057
NA,NA,2021-05-17T12:18:53Z,0,139,41,0,143,0,6794759057
NA,NA,2021-05-17T12:18:54Z,0,140,41,0,144,0,6794759057
NA,NA,2021-05-17T12:18:55Z,0,140,41,0,145,0,6794759057
NA,NA,2021-05-17T12:18:56Z,0,140,41,0,146,0,6794759057
NA,NA,2021-05-17T12:18:57Z,0,140,41,0,147,0,6794759057
NA,NA,2021-05-17T12:18:58Z,0,140,41,0,148,0,6794759057
NA,NA,2021-05-17T12:18:59Z,0,140,41,0,149,0,6794759057
NA,NA,2021-05-17T12:19:00Z,0,140,40,0,150,0,6794759057
NA,NA,2021-05-17T12:19:01Z,0,141,40,0,151,0,6794759057
NA,NA,2021-05-17T12:19:02Z,0,141,40,0,152,0,6794759057
NA,NA,2021-05-17T12:19:03Z,0,141,41,0,153,0,6794759057
NA,NA,2021-05-17T12:19:04Z,0,141,41,0,154,0,6794759057
NA,NA,2021-05-17T12:19:05Z,0,141,41,0,155,0,6794759057
NA,NA,2021-05-17T12:19:06Z,0,142,41,0,156,0,6794759057
