timestamp,distance,heart_rate,cadence,fractional_cadence,key
2018-10-02T02:38:48Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:49Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:38:50Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:38:51Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:38:52Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:38:53Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:38:54Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:38:55Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:38:56Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:38:57Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:38:58Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:38:59Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:00Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:01Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:02Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:03Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:04Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:05Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:06Z,0,140,0,0,2018-10-02 02:36:42
2018-10-02T02:39:07Z,0,140,0,0,2018-10-02 02:36:42
2018-10-02T02:39:08Z,0,140,58,0.5,2018-10-02 02:36:42
2018-10-02T02:39:09Z,0,140,58,0.5,2018-10-02 02:36:42
2018-10-02T02:39:10Z,0,140,58,0.5,2018-10-02 02:36:42
2018-10-02T02:39:11Z,0,140,58,0.5,2018-10-02 02:36:42
2018-10-02T02:39:12Z,0,140,0,0,2018-10-02 02:36:42
2018-10-02T02:39:13Z,0,140,0,0,2018-10-02 02:36:42
2018-10-02T02:39:14Z,0,140,0,0,2018-10-02 02:36:42
2018-10-02T02:39:15Z,0,139,0,0,2018-10-02 02:36:42
2018-10-02T02:39:16Z,0,138,0,0,2018-10-02 02:36:42
2018-10-02T02:39:17Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:39:18Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:39:19Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:39:20Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:39:21Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:39:22Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:39:23Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:39:24Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:39:25Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:26Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:27Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:28Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:29Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:30Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:31Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:32Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:33Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:34Z,0,134,0,0,2018-10-02 02:36:42
