timestamp,position_lat,position_long,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2020-03-27T22:01:29Z,44.985257824882865,-93.1884425226599,179.46,292.6,3.266,85,0,110,2020-03-27 22:00:32
2020-03-27T22:01:30Z,44.98522890731692,-93.18843766115606,182.66,292.4,3.266,85,0,111,2020-03-27 22:00:32
2020-03-27T22:01:31Z,44.98520141467452,-93.1884335540235,185.72,292,3.266,84,0,111,2020-03-27 22:00:32
2020-03-27T22:01:32Z,44.98517417348921,-93.18843154236674,188.73,291.6,3.256,84,0,112,2020-03-27 22:00:32
2020-03-27T22:01:33Z,44.98514768667519,-93.18842869251966,191.68,291.20000000000005,3.256,85,0,112,2020-03-27 22:00:32
2020-03-27T22:01:34Z,44.985120529308915,-93.18842835724354,194.7,290.6,3.256,85,0,112,2020-03-27 22:00:32
2020-03-27T22:01:35Z,44.985093120485544,-93.18842693232,197.73,290.20000000000005,3.247,84,0,113,2020-03-27 22:00:32
2020-03-27T22:01:36Z,44.98506277799606,-93.18843162618577,201.05,290,3.238,84,0,114,2020-03-27 22:00:32
2020-03-27T22:01:37Z,44.985032519325614,-93.18843824788928,204.3,290,3.238,84,0,114,2020-03-27 22:00:32
2020-03-27T22:01:38Z,44.98500309884548,-93.18844319321215,207.52,290,3.238,85,0,114,2020-03-27 22:00:32
2020-03-27T22:01:39Z,44.98497334308922,-93.18844495341182,210.8,290,3.238,85,0,114,2020-03-27 22:00:32
2020-03-27T22:01:40Z,44.98494392260909,-93.18844704888761,214.04,289.79999999999995,3.238,85,0,114,2020-03-27 22:00:32
2020-03-27T22:01:41Z,44.98491559177637,-93.18844889290631,217.15,289.6,3.238,85,0,115,2020-03-27 22:00:32
2020-03-27T22:01:42Z,44.984887009486556,-93.18844897672534,220.33,289.4,3.228,85,0,115,2020-03-27 22:00:32
2020-03-27T22:01:43Z,44.98485457152128,-93.18846490234137,223.82,289.79999999999995,3.228,86,0,115,2020-03-27 22:00:32
2020-03-27T22:01:44Z,44.984823474660516,-93.18847353570163,227.16,290,3.228,86,0,116,2020-03-27 22:00:32
