timestamp,distance,speed,cadence,heart_rate,time_elapsed,elevation,latitude,longitude,key
2021-07-15T12:17:29Z,309.25,3.004,85,119,102,263.64,44.98806802555919,-93.21274735964835,7129589984
2021-07-15T12:17:30Z,313.18,3.032,85,119,103,263.56,44.9880326539278,-93.2127514667809,7129589984
2021-07-15T12:17:31Z,316.83,3.06,85,119,104,263.52,44.9879998806864,-93.21275666356087,7129589984
2021-07-15T12:17:32Z,320,3.079,85,119,105,263.52,44.98797096312046,-93.21275951340795,7129589984
2021-07-15T12:17:33Z,322.36,3.079,86,119,106,263.51,44.987948248162866,-93.21275523863733,7129589984
2021-07-15T12:17:34Z,324.32,3.07,87,119,107,263.51,44.98793282546103,-93.21273813955486,7129589984
2021-07-15T12:17:35Z,326.92,3.014,86,118,108,263.53,44.987928131595254,-93.21270511485636,7129589984
2021-07-15T12:17:36Z,330.04,2.921,85,115,109,263.54,44.98793181963265,-93.21266563609242,7129589984
2021-07-15T12:17:37Z,333.52,2.921,85,115,110,263.55,44.98793726786971,-93.212622217834,7129589984
2021-07-15T12:17:38Z,336.62,3.312,86,116,111,263.55,44.987940955907106,-93.21258299052715,7129589984
2021-07-15T12:17:39Z,339.74,3.312,87,117,112,263.56,44.98794699087739,-93.21254434995353,7129589984
2021-07-15T12:17:40Z,343.03,3.256,87,118,113,263.57,44.98795302584767,-93.21250353008509,7129589984
2021-07-15T12:17:41Z,346.43,3.247,86,119,114,263.58,44.98795570805669,-93.21246044710279,7129589984
2021-07-15T12:17:42Z,349.83,3.247,86,119,115,263.59,44.98795537278056,-93.21241728030145,7129589984
2021-07-15T12:17:43Z,353.22,3.247,86,119,116,263.6,44.98795537278056,-93.21237402968109,7129589984
2021-07-15T12:17:44Z,356.47,3.266,86,120,117,263.61,44.98795637860894,-93.21233287453651,7129589984
2021-07-15T12:17:45Z,359.62,3.266,87,120,118,263.63,44.98795914463699,-93.21229289285839,7129589984
2021-07-15T12:17:46Z,362.74,3.238,87,120,119,263.67,44.987960904836655,-93.21225333027542,7129589984
2021-07-15T12:17:47Z,365.82,3.219,87,120,120,263.69,44.98796274885535,-93.2122144382447,7129589984
2021-07-15T12:17:48Z,369,3.21,86,120,121,263.71,44.987963838502765,-93.21217412129045,7129589984
2021-07-15T12:17:49Z,372.15,3.21,86,120,122,263.66,44.98796610161662,-93.21213430725038,7129589984
2021-07-15T12:17:50Z,375.37,3.21,86,121,123,263.66,44.98796802945435,-93.21209357120097,7129589984
2021-07-15T12:17:51Z,378.73,3.21,86,121,124,263.66,44.98796861618757,-93.21205090731382,7129589984
2021-07-15T12:17:52Z,382.01,3.219,86,122,125,263.67,44.987970208749175,-93.21200941689312,7129589984
2021-07-15T12:17:53Z,385.22,3.219,86,122,126,263.67,44.987973142415285,-93.21196884848177,7129589984
2021-07-15T12:17:54Z,388.33,3.228,85,122,127,263.69,44.987975070253015,-93.21192945353687,7129589984
2021-07-15T12:17:55Z,391.5,3.228,85,122,128,263.7,44.98797490261495,-93.21188938803971,7129589984
2021-07-15T12:17:56Z,394.72,3.219,86,122,129,263.7,44.98797305859625,-93.21184848435223,7129589984
2021-07-15T12:17:57Z,398,3.21,86,123,130,263.7,44.98796786181629,-93.21180766448379,7129589984
2021-07-15T12:17:58Z,401.06,3.21,86,123,131,263.7,44.987966353073716,-93.211768604815,7129589984
2021-07-15T12:17:59Z,404.13,3.21,85,124,132,263.72,44.987968700006604,-93.21172962896526,7129589984
2021-07-15T12:18:00Z,407.23,3.21,85,124,133,263.74,44.987970208749175,-93.21169040165842,7129589984
2021-07-15T12:18:01Z,410.19,3.21,85,124,134,263.76,44.98797004111111,-93.21165285073221,7129589984
2021-07-15T12:18:02Z,413.21,3.21,85,126,135,263.78,44.98796719126403,-93.21161471307278,7129589984
2021-07-15T12:18:03Z,416.18,3.191,86,126,136,263.79,44.98796610161662,-93.2115769945085,7129589984
2021-07-15T12:18:04Z,419.33,3.191,86,126,137,263.85,44.98796467669308,-93.21153701283038,7129589984
2021-07-15T12:18:05Z,422.64,3.182,86,125,138,263.87,44.987963922321796,-93.21149501949549,7129589984
2021-07-15T12:18:06Z,425.9,3.191,86,125,139,263.88,44.987963419407606,-93.21145361289382,7129589984
2021-07-15T12:18:07Z,429.07,3.191,86,125,140,263.89,44.987964760512114,-93.2114131283015,7129589984
2021-07-15T12:18:08Z,432.17,3.191,86,125,141,263.9,44.98796559870243,-93.21137381717563,7129589984
2021-07-15T12:18:09Z,435.58,3.191,86,125,142,263.91,44.98796509578824,-93.21133048273623,7129589984
2021-07-15T12:18:10Z,438.93,3.191,86,125,143,263.87,44.987965850159526,-93.21128790266812,7129589984
2021-07-15T12:18:11Z,442.16,3.2,86,125,144,263.89,44.987966353073716,-93.21124691516161,7129589984
2021-07-15T12:18:12Z,445.48,3.2,86,125,145,263.9,44.98796652071178,-93.21120492182672,7129589984
2021-07-15T12:18:13Z,448.73,3.2,86,125,146,263.98,44.987964760512114,-93.21116368286312,7129589984
2021-07-15T12:18:14Z,452.04,3.21,86,125,147,263.99,44.987963335588574,-93.2111216057092,7129589984
2021-07-15T12:18:15Z,455.35,3.21,87,125,148,264,44.987963838502765,-93.21107936091721,7129589984
2021-07-15T12:18:16Z,458.72,3.21,87,125,149,263.93,44.987965850159526,-93.21103661321104,7129589984
2021-07-15T12:18:17Z,462.01,3.219,86,124,150,263.94,44.987967777997255,-93.21099487133324,7129589984
2021-07-15T12:18:18Z,465.24,3.219,86,124,151,263.95,44.98797138221562,-93.21095413528383,7129589984
2021-07-15T12:18:19Z,468.58,3.228,86,124,152,263.97,44.987975573167205,-93.21091222576797,7129589984
2021-07-15T12:18:20Z,471.91,3.228,86,124,153,263.98,44.98797624371946,-93.21086998097599,7129589984
2021-07-15T12:18:21Z,475.16,3.228,86,124,154,263.98,44.98797716572881,-93.21082857437432,7129589984
2021-07-15T12:18:22Z,478.45,3.228,85,123,155,263.99,44.98797548934817,-93.21078700013459,7129589984
2021-07-15T12:18:23Z,481.61,3.228,85,123,156,263.99,44.98797490261495,-93.2107465993613,7129589984
2021-07-15T12:18:24Z,484.72,3.228,86,124,157,264,44.987978003919125,-93.2107072044164,7129589984
2021-07-15T12:18:25Z,488.1,3.228,86,124,158,264,44.9879808537662,-93.21066445671022,7129589984
2021-07-15T12:18:26Z,491.43,3.228,85,123,159,264,44.9879826977849,-93.21062229573727,7129589984
2021-07-15T12:18:27Z,494.74,3.238,85,124,160,264.01,44.987981021404266,-93.21058030240238,7129589984
2021-07-15T12:18:28Z,497.99,3.238,85,123,161,264.02,44.9879811052233,-93.2105391472578,7129589984
2021-07-15T12:18:29Z,501.38,3.238,85,123,162,264.03,44.98798127286136,-93.2104960642755,7129589984
2021-07-15T12:18:30Z,504.64,3.238,86,123,163,264.05,44.987978506833315,-93.21045490913093,7129589984
2021-07-15T12:18:31Z,507.8,3.238,86,123,164,264.07,44.987973561510444,-93.21041551418602,7129589984
2021-07-15T12:18:32Z,511.18,3.238,87,123,165,264.08,44.987968700006604,-93.21037310175598,7129589984
2021-07-15T12:18:33Z,514.43,3.238,87,123,166,264.15,44.98796543106437,-93.21033211424947,7129589984
2021-07-15T12:18:34Z,517.97,3.238,87,123,167,264.16,44.987959899008274,-93.21028785780072,7129589984
2021-07-15T12:18:35Z,521.39,3.238,86,124,168,264.18,44.987958976998925,-93.2102444395423,7129589984
2021-07-15T12:18:36Z,524.91,3.247,86,124,169,264.26,44.98795889317989,-93.21019968017936,7129589984
2021-07-15T12:18:37Z,528.25,3.247,86,123,170,264.31,44.987961910665035,-93.2101575192064,7129589984
2021-07-15T12:18:38Z,531.48,3.256,86,124,171,264.35,44.98796216212213,-93.2101165316999,7129589984
2021-07-15T12:18:39Z,534.74,3.256,86,124,172,264.38,44.98796149156988,-93.21007520891726,7129589984
2021-07-15T12:18:40Z,537.91,3.256,86,125,173,264.4,44.987960988655686,-93.21003505960107,7129589984
2021-07-15T12:18:41Z,541.03,3.256,86,125,174,264.42,44.987960401922464,-93.20999541319907,7129589984
2021-07-15T12:18:42Z,544.08,3.256,87,125,175,264.44,44.98796258121729,-93.20995677262545,7129589984
2021-07-15T12:18:43Z,547.11,3.256,86,126,176,264.47,44.987963922321796,-93.20991838350892,7129589984
2021-07-15T12:18:44Z,550.34,3.256,86,127,177,264.35,44.98796702362597,-93.2098776474595,7129589984
2021-07-15T12:18:45Z,553.34,3.256,86,126,178,264.38,44.987968280911446,-93.20983950980008,7129589984
2021-07-15T12:18:46Z,556.34,3.247,86,127,179,264.41,44.98797037638724,-93.20980170741677,7129589984
2021-07-15T12:18:47Z,559.28,3.247,85,127,180,264.44,44.98796987347305,-93.20976432412863,7129589984
2021-07-15T12:18:48Z,562.23,3.247,85,127,181,264.47,44.98796911910176,-93.20972685702145,7129589984
2021-07-15T12:18:49Z,565.29,3.238,85,127,182,264.49,44.98796652071178,-93.2096881326288,7129589984
2021-07-15T12:18:50Z,568.49,3.238,85,127,183,264.66,44.987965263426304,-93.20964764803648,7129589984
2021-07-15T12:18:51Z,571.4,3.238,85,128,184,264.57,44.98796744272113,-93.2096106838435,7129589984
2021-07-15T12:18:52Z,574.19,3.228,86,128,185,264.57,44.98796903528273,-93.20957531221211,7129589984
2021-07-15T12:18:53Z,576.95,3.228,86,128,186,264.59,44.987971130758524,-93.20954052731395,7129589984
2021-07-15T12:18:54Z,579.83,3.219,87,128,187,264.61,44.98797481879592,-93.20950440131128,7129589984
2021-07-15T12:18:55Z,582.62,3.219,87,128,188,264.63,44.98797817155719,-93.20946919731796,7129589984
2021-07-15T12:18:56Z,585.62,3.21,86,128,189,264.65,44.98798068612814,-93.20943139493465,7129589984
2021-07-15T12:18:57Z,588.91,3.2,86,128,190,264.67,44.987981440499425,-93.20938956923783,7129589984
2021-07-15T12:18:58Z,592.39,3.191,86,129,191,264.73,44.98798403888941,-93.20934564806521,7129589984
2021-07-15T12:18:59Z,595.86,3.191,86,128,192,264.75,44.987985379993916,-93.20930155925453,7129589984
2021-07-15T12:19:00Z,599.19,3.191,86,128,193,264.75,44.98798546381295,-93.20925939828157,7129589984
2021-07-15T12:19:01Z,602.47,3.191,86,129,194,264.76,44.987984374165535,-93.20921782404184,7129589984
2021-07-15T12:19:02Z,605.88,3.191,86,128,195,264.78,44.9879842903465,-93.20917440578341,7129589984
2021-07-15T12:19:03Z,609.36,3.191,86,128,196,264.81,44.98798370361328,-93.20913031697273,7129589984
2021-07-15T12:19:04Z,612.64,3.2,86,128,197,264.88,44.9879845418036,-93.20908882655203,7129589984
2021-07-15T12:19:05Z,615.96,3.2,87,128,198,264.91,44.987985379993916,-93.20904641412199,7129589984
2021-07-15T12:19:06Z,619.34,3.2,87,129,199,264.94,44.98798848129809,-93.20900375023484,7129589984
2021-07-15T12:19:07Z,622.67,3.2,86,128,200,264.97,44.98799208551645,-93.20896175689995,7129589984
2021-07-15T12:19:08Z,625.97,3.2,86,128,201,265,44.98799527063966,-93.20892018266022,7129589984
2021-07-15T12:19:09Z,629.25,3.2,86,129,202,265.03,44.987997030839324,-93.20887860842049,7129589984
2021-07-15T12:19:10Z,632.61,3.21,86,128,203,265.06,44.98799736611545,-93.20883594453335,7129589984
2021-07-15T12:19:11Z,635.91,3.21,86,129,204,265.11,44.98799778521061,-93.20879395119846,7129589984
2021-07-15T12:19:12Z,639.33,3.21,86,128,205,265.14,44.98799845576286,-93.20875061675906,7129589984
2021-07-15T12:19:13Z,642.78,3.21,86,129,206,265.17,44.98800038360059,-93.20870677940547,7129589984
2021-07-15T12:19:14Z,646.18,3.21,86,129,207,265.2,44.988001054152846,-93.20866369642317,7129589984
2021-07-15T12:19:15Z,649.61,3.219,86,129,208,265.23,44.98800122179091,-93.20862019434571,7129589984
2021-07-15T12:19:16Z,652.79,3.219,86,129,209,265.27,44.98800281435251,-93.20857987739146,7129589984
2021-07-15T12:19:17Z,655.94,3.219,86,129,210,265.23,44.98800658620894,-93.20854023098946,7129589984
2021-07-15T12:19:18Z,659.18,3.228,86,129,211,265.26,44.98801060952246,-93.20849941112101,7129589984
2021-07-15T12:19:19Z,662.23,3.228,86,129,212,265.29,44.988010274246335,-93.20846077054739,7129589984
2021-07-15T12:19:20Z,665.35,3.228,86,129,213,265.36,44.98800901696086,-93.20842129178345,7129589984
2021-07-15T12:19:21Z,668.39,3.228,86,129,214,265.39,44.988007759675384,-93.20838273502886,7129589984
2021-07-15T12:19:22Z,671.68,3.228,85,129,215,265.42,44.98800750821829,-93.20834099315107,7129589984
2021-07-15T12:19:23Z,675.08,3.228,85,129,216,265.45,44.988006837666035,-93.20829782634974,7129589984
2021-07-15T12:19:24Z,678.32,3.228,85,129,217,265.48,44.98800792731345,-93.20825658738613,7129589984
2021-07-15T12:19:25Z,681.32,3.228,85,129,218,265.51,44.98800960369408,-93.20821861736476,7129589984
2021-07-15T12:19:26Z,684.56,3.219,85,129,219,265.54,44.98801446519792,-93.20817813277245,7129589984
2021-07-15T12:19:27Z,687.75,3.219,86,128,220,265.57,44.98801697976887,-93.20813781581819,7129589984
2021-07-15T12:19:28Z,690.96,3.219,86,129,221,265.6,44.98801630921662,-93.20809716358781,7129589984
2021-07-15T12:19:29Z,694.41,3.219,85,129,222,265.63,44.988012285903096,-93.20805366151035,7129589984
2021-07-15T12:19:30Z,697.85,3.219,85,130,223,265.72,44.98800993897021,-93.208009907975793,7129589984
2021-07-15T12:19:31Z,701.25,3.219,86,130,224,265.76,44.98800901696086,-93.20796690881252,7129589984
2021-07-15T12:19:32Z,704.38,3.219,86,130,225,265.81,44.98800910077989,-93.20792709477246,7129589984
2021-07-15T12:19:33Z,707.58,3.219,86,130,226,265.86,44.98801060952246,-93.20788652636111,7129589984
2021-07-15T12:19:34Z,710.67,3.219,86,130,227,265.92,44.98801379464567,-93.20784763433039,7129589984
2021-07-15T12:19:35Z,713.88,3.219,86,130,228,265.97,44.98801446519792,-93.20780698210001,7129589984
2021-07-15T12:19:36Z,717.24,3.219,86,130,229,266.02,44.98801094479859,-93.20776456966996,7129589984
2021-07-15T12:19:37Z,720.59,3.219,86,130,230,266.06,44.988006334751844,-93.20772257633507,7129589984
