distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
369.17,2.771,92,115,285.87,45.014573112130165,-93.14746876247229,6664171315,285.87290322580645,0.0029032258064489724,2021-04-24T13:21:41Z
372.4,2.865,92,116,285.84,45.01457093283534,-93.14742769114672,6664171315,285.86400921658986,0.024009216589888638,2021-04-24T13:21:42Z
375.86,3.098,94,117,285.81,45.01456875354051,-93.14738393761218,6664171315,285.85718894009216,0.04718894009215546,2021-04-24T13:21:43Z
379.18,2.995,95,118,285.85,45.01456934027374,-93.14734186045824,6664171315,285.8529032258065,0.0029032258064489724,2021-04-24T13:21:44Z
382.36,3.023,95,119,285.9,45.014573112130165,-93.14730187878013,6664171315,285.85050691244237,-0.049493087557607396,2021-04-24T13:21:45Z
385.55,2.976,94,120,285.94,45.01457721926272,-93.14726181328297,6664171315,285.8489861751152,-0.09101382488478293,2021-04-24T13:21:46Z
388.92,3.126,94,121,285.95,45.01457780599594,-93.14721898175776,6664171315,285.8483410138249,-0.10165898617509583,2021-04-24T13:21:47Z
392.38,3.144,91,122,285.96,45.01457680016756,-93.14717506058514,6664171315,285.8472350230415,-0.11276497695848775,2021-04-24T13:21:48Z
395.66,3.042,91,123,285.95,45.01457545906305,-93.14713357016444,6664171315,285.84493087557604,-0.10506912442394878,2021-04-24T13:21:49Z
398.79,2.958,91,124,285.89,45.01457386650145,-93.14709392376244,6664171315,285.8409216589862,-0.04907834101379649,2021-04-24T13:21:50Z
402,3.07,93,125,285.78,45.014573112130165,-93.147053103894,6664171315,285.8352073732719,0.055207373271912275,2021-04-24T13:21:51Z
405.38,3.219,93,126,285.65,45.01457143574953,-93.14701035618782,6664171315,285.82870967741934,0.17870967741936283,2021-04-24T13:21:52Z
408.79,3.126,94,127,285.57,45.01456883735955,-93.14696735702456,6664171315,285.8214746543779,0.25147465437788696,2021-04-24T13:21:53Z
412.24,3.219,93,128,285.58,45.01456749625504,-93.14692351967096,6664171315,285.8137788018433,0.23377880184330024,2021-04-24T13:21:54Z
416.05,3.322,87,129,285.63,45.01457110047341,-93.14687532372773,6664171315,285.8058064516129,0.17580645161291386,2021-04-24T13:21:55Z
419.75,3.312,80,130,285.6,45.014582416042686,-93.14683131873608,6664171315,285.79769585253456,0.1976958525345367,2021-04-24T13:21:56Z
423.29,3.163,79,131,285.78,45.01460504718125,-93.14679929986596,6664171315,285.7892165898617,0.00921658986175089,2021-04-24T13:21:57Z
426.41,2.93,79,132,285.53,45.01462952233851,-93.1467798538506,6664171315,285.7799539170507,0.2499539170507319,2021-04-24T13:21:58Z
429.81,3.154,80,133,285.75,45.01465944573283,-93.14677080139518,6664171315,285.7691705069124,0.01917050691241684,2021-04-24T13:21:59Z
433.35,3.359,81,134,285.89,45.01469129696488,-93.1467679515481,6664171315,285.7561751152074,-0.13382488479260246,2021-04-24T13:22:00Z
436.79,3.266,83,135,285.95,45.01472247764468,-93.14676711335778,6664171315,285.73953917050693,-0.21046082949305855,2021-04-24T13:22:01Z
440.26,3.368,86,136,285.93,45.01475374214351,-93.14676803536712,6664171315,285.71764976958525,-0.21235023041475642,2021-04-24T13:22:02Z
443.58,3.387,90,137,285.93,45.0147835817188,-93.14676728099585,6664171315,285.6888479262673,-0.24115207373273506,2021-04-24T13:22:03Z
447.01,3.247,92,138,285.89,45.014814510941505,-93.1467682030052,6664171315,285.65294930875575,-0.23705069124423517,2021-04-24T13:22:04Z
449.88,3.023,93,139,285.84,45.01484024338424,-93.14677130430935,6664171315,285.61041474654377,-0.22958525345620728,2021-04-24T13:22:05Z
