timestamp,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2018-10-11T00:35:16Z,318.64,249.20000000000005,3.238,82,0,136,2018-10-11 00:33:37
2018-10-11T00:35:17Z,321.89,249.20000000000005,3.247,82,0,136,2018-10-11 00:33:37
2018-10-11T00:35:18Z,325.17,249.20000000000005,3.275,83,0,136,2018-10-11 00:33:37
2018-10-11T00:35:19Z,328.43,249.20000000000005,3.266,83,0,137,2018-10-11 00:33:37
2018-10-11T00:35:20Z,331.65,249.20000000000005,3.219,83,0,136,2018-10-11 00:33:37
2018-10-11T00:35:21Z,334.89,249.20000000000005,3.238,82,0,136,2018-10-11 00:33:37
2018-10-11T00:35:22Z,338.09,249.20000000000005,3.2,81,0,136,2018-10-11 00:33:37
2018-10-11T00:35:23Z,341.31,249.20000000000005,3.219,81,0,135,2018-10-11 00:33:37
2018-10-11T00:35:24Z,344.52,249.20000000000005,3.21,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:25Z,347.75,249.20000000000005,3.228,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:26Z,350.96,249.20000000000005,3.219,82,0,134,2018-10-11 00:33:37
2018-10-11T00:35:27Z,354.18,249.20000000000005,3.219,81,0,134,2018-10-11 00:33:37
2018-10-11T00:35:28Z,357.38,249.20000000000005,3.191,82,0,133,2018-10-11 00:33:37
2018-10-11T00:35:29Z,360.55,249.20000000000005,3.172,82,0,133,2018-10-11 00:33:37
2018-10-11T00:35:30Z,363.73,249.20000000000005,3.182,82,0,132,2018-10-11 00:33:37
2018-10-11T00:35:31Z,366.93,249.20000000000005,3.2,81,0,132,2018-10-11 00:33:37
2018-10-11T00:35:32Z,370.14,249.20000000000005,3.21,81,0,132,2018-10-11 00:33:37
2018-10-11T00:35:33Z,373.33,249.20000000000005,3.191,81,0,132,2018-10-11 00:33:37
2018-10-11T00:35:34Z,376.5,249.20000000000005,3.172,82,0,131,2018-10-11 00:33:37
2018-10-11T00:35:35Z,379.69,249.20000000000005,3.182,82,0,131,2018-10-11 00:33:37
2018-10-11T00:35:36Z,382.87,249.20000000000005,3.182,82,0,131,2018-10-11 00:33:37
2018-10-11T00:35:37Z,386.04,249.20000000000005,3.172,82,0,131,2018-10-11 00:33:37
2018-10-11T00:35:38Z,389.24,249.20000000000005,3.2,82,0,130,2018-10-11 00:33:37
2018-10-11T00:35:39Z,392.46,249.20000000000005,3.219,82,0,130,2018-10-11 00:33:37
2018-10-11T00:35:40Z,395.69,249.20000000000005,3.228,82,0,131,2018-10-11 00:33:37
2018-10-11T00:35:41Z,398.92,249.20000000000005,3.228,81,0,131,2018-10-11 00:33:37
2018-10-11T00:35:42Z,402.15,249.20000000000005,3.238,81,0,132,2018-10-11 00:33:37
2018-10-11T00:35:43Z,405.4,249.20000000000005,3.247,81,0,132,2018-10-11 00:33:37
2018-10-11T00:35:44Z,408.64,249.20000000000005,3.238,82,0,133,2018-10-11 00:33:37
2018-10-11T00:35:45Z,411.86,249.20000000000005,3.219,82,0,133,2018-10-11 00:33:37
2018-10-11T00:35:46Z,415.09,249.20000000000005,3.228,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:47Z,418.3,249.20000000000005,3.219,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:48Z,421.54,249.20000000000005,3.228,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:49Z,424.77,249.20000000000005,3.238,82,0,136,2018-10-11 00:33:37
2018-10-11T00:35:50Z,428.02,249.20000000000005,3.247,82,0,136,2018-10-11 00:33:37
2018-10-11T00:35:51Z,431.27,249.20000000000005,3.256,82,0,137,2018-10-11 00:33:37
2018-10-11T00:35:52Z,434.52,249.20000000000005,3.238,81,0,137,2018-10-11 00:33:37
2018-10-11T00:35:53Z,437.75,249.20000000000005,3.238,81,0,138,2018-10-11 00:33:37
2018-10-11T00:35:54Z,440.99,249.20000000000005,3.238,81,0,139,2018-10-11 00:33:37
2018-10-11T00:35:55Z,444.25,249.20000000000005,3.266,81,0,139,2018-10-11 00:33:37
2018-10-11T00:35:56Z,447.52,249.20000000000005,3.266,81,0,139,2018-10-11 00:33:37
2018-10-11T00:35:57Z,450.79,249.20000000000005,3.275,81,0,140,2018-10-11 00:33:37
2018-10-11T00:35:58Z,454.04,249.20000000000005,3.247,82,0,139,2018-10-11 00:33:37
2018-10-11T00:35:59Z,457.28,249.20000000000005,3.238,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:00Z,460.5,249.20000000000005,3.219,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:01Z,463.74,249.20000000000005,3.238,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:02Z,466.99,249.20000000000005,3.256,82,0,141,2018-10-11 00:33:37
2018-10-11T00:36:03Z,470.25,249.20000000000005,3.256,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:04Z,473.51,249.20000000000005,3.256,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:05Z,476.75,249.20000000000005,3.238,81,0,140,2018-10-11 00:33:37
2018-10-11T00:36:06Z,479.95,249.20000000000005,3.21,81,0,140,2018-10-11 00:33:37
2018-10-11T00:36:07Z,483.18,249.20000000000005,3.228,80,0,140,2018-10-11 00:33:37
2018-10-11T00:36:08Z,486.42,249.20000000000005,3.238,80,0,140,2018-10-11 00:33:37
2018-10-11T00:36:09Z,489.66,249.20000000000005,3.238,82,0,139,2018-10-11 00:33:37
2018-10-11T00:36:10Z,492.9,249.20000000000005,3.247,82,0,139,2018-10-11 00:33:37
2018-10-11T00:36:11Z,496.14,249.20000000000005,3.238,82,0,139,2018-10-11 00:33:37
2018-10-11T00:36:12Z,499.36,249.20000000000005,3.219,81,0,140,2018-10-11 00:33:37
2018-10-11T00:36:13Z,502.59,249.20000000000005,3.228,81,0,140,2018-10-11 00:33:37
2018-10-11T00:36:14Z,505.83,249.20000000000005,3.238,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:15Z,509.08,249.20000000000005,3.247,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:16Z,512.32,249.20000000000005,3.247,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:17Z,515.57,249.20000000000005,3.247,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:18Z,518.79,249.20000000000005,3.219,82,0,140,2018-10-11 00:33:37
2018-10-11T00:36:19Z,522.01,249.20000000000005,3.219,81,0,139,2018-10-11 00:33:37
2018-10-11T00:36:20Z,525.22,249.20000000000005,3.21,81,0,139,2018-10-11 00:33:37
2018-10-11T00:36:21Z,528.43,249.20000000000005,3.219,82,0,138,2018-10-11 00:33:37
2018-10-11T00:36:22Z,531.64,249.20000000000005,3.2,82,0,138,2018-10-11 00:33:37
2018-10-11T00:36:23Z,534.86,249.20000000000005,3.219,82,0,138,2018-10-11 00:33:37
2018-10-11T00:36:24Z,538.08,249.20000000000005,3.228,82,0,138,2018-10-11 00:33:37
2018-10-11T00:36:25Z,541.32,249.20000000000005,3.238,82,0,138,2018-10-11 00:33:37
2018-10-11T00:36:26Z,544.56,249.20000000000005,3.238,82,0,138,2018-10-11 00:33:37
2018-10-11T00:36:27Z,547.81,249.20000000000005,3.247,82,0,137,2018-10-11 00:33:37
2018-10-11T00:36:28Z,551.05,249.20000000000005,3.247,82,0,138,2018-10-11 00:33:37
2018-10-11T00:36:29Z,554.31,249.20000000000005,3.256,82,0,137,2018-10-11 00:33:37
2018-10-11T00:36:30Z,557.57,249.20000000000005,3.256,82,0,136,2018-10-11 00:33:37
2018-10-11T00:36:31Z,560.83,249.20000000000005,3.266,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:32Z,564.11,249.20000000000005,3.275,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:33Z,567.39,249.20000000000005,3.284,83,0,135,2018-10-11 00:33:37
2018-10-11T00:36:34Z,570.69,249.20000000000005,3.303,82,0,136,2018-10-11 00:33:37
2018-10-11T00:36:35Z,573.99,249.20000000000005,3.294,82,0,136,2018-10-11 00:33:37
2018-10-11T00:36:36Z,577.24,249.20000000000005,3.256,82,0,136,2018-10-11 00:33:37
2018-10-11T00:36:37Z,580.47,249.20000000000005,3.228,82,0,136,2018-10-11 00:33:37
2018-10-11T00:36:38Z,583.69,249.20000000000005,3.219,83,0,135,2018-10-11 00:33:37
2018-10-11T00:36:39Z,586.9,249.20000000000005,3.21,83,0,135,2018-10-11 00:33:37
2018-10-11T00:36:40Z,590.11,249.20000000000005,3.21,83,0,135,2018-10-11 00:33:37
2018-10-11T00:36:41Z,593.34,249.20000000000005,3.228,83,0,135,2018-10-11 00:33:37
2018-10-11T00:36:42Z,596.59,249.20000000000005,3.247,83,0,135,2018-10-11 00:33:37
2018-10-11T00:36:43Z,599.83,249.20000000000005,3.247,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:44Z,603.07,249.20000000000005,3.238,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:45Z,606.29,249.20000000000005,3.219,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:46Z,609.52,249.20000000000005,3.228,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:47Z,612.76,249.20000000000005,3.238,82,0,134,2018-10-11 00:33:37
2018-10-11T00:36:48Z,616,249.20000000000005,3.247,83,0,134,2018-10-11 00:33:37
2018-10-11T00:36:49Z,619.27,249.20000000000005,3.266,83,0,134,2018-10-11 00:33:37
2018-10-11T00:36:50Z,622.53,249.20000000000005,3.256,83,0,134,2018-10-11 00:33:37
2018-10-11T00:36:51Z,625.79,249.20000000000005,3.266,83,0,135,2018-10-11 00:33:37
2018-10-11T00:36:52Z,629.06,249.20000000000005,3.266,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:53Z,632.3,249.20000000000005,3.247,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:54Z,635.56,249.20000000000005,3.256,82,0,135,2018-10-11 00:33:37
2018-10-11T00:36:55Z,638.84,249.20000000000005,3.275,82,0,136,2018-10-11 00:33:37
2018-10-11T00:36:56Z,642.09,249.20000000000005,3.256,81,0,136,2018-10-11 00:33:37
2018-10-11T00:36:57Z,645.34,249.20000000000005,3.247,82,0,136,2018-10-11 00:33:37
2018-10-11T00:36:58Z,648.6,249.20000000000005,3.266,82,0,137,2018-10-11 00:33:37
2018-10-11T00:36:59Z,651.87,249.20000000000005,3.266,82,0,137,2018-10-11 00:33:37
2018-10-11T00:37:00Z,655.13,249.20000000000005,3.256,82,0,137,2018-10-11 00:33:37
2018-10-11T00:37:01Z,658.37,249.20000000000005,3.247,82,0,137,2018-10-11 00:33:37
2018-10-11T00:37:02Z,661.59,249.20000000000005,3.219,82,0,138,2018-10-11 00:33:37
2018-10-11T00:37:03Z,664.81,249.20000000000005,3.219,82,0,137,2018-10-11 00:33:37
2018-10-11T00:37:04Z,668.04,249.20000000000005,3.228,82,0,138,2018-10-11 00:33:37
2018-10-11T00:37:05Z,671.27,249.20000000000005,3.228,82,0,138,2018-10-11 00:33:37
2018-10-11T00:37:06Z,674.52,249.20000000000005,3.247,82,0,138,2018-10-11 00:33:37
2018-10-11T00:37:07Z,677.76,249.20000000000005,3.238,82,0,138,2018-10-11 00:33:37
2018-10-11T00:37:08Z,680.99,249.20000000000005,3.238,81,0,138,2018-10-11 00:33:37
2018-10-11T00:37:09Z,684.22,249.20000000000005,3.228,81,0,138,2018-10-11 00:33:37
