timestamp,distance,speed,heart_rate,cadence,fractional_cadence,key
2019-01-31T23:44:38Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:39Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:40Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:41Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:42Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:43Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:44Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:45Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:44:46Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:44:47Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:48Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:49Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:50Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:51Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:52Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:53Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:44:54Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:44:55Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:44:56Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:44:57Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:44:58Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:44:59Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:45:00Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:45:01Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:45:02Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:45:03Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:45:04Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:05Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:06Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:07Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:08Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:09Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:10Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:11Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:12Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:13Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:14Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:15Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:16Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:45:17Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:45:18Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:19Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:20Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:45:21Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:45:22Z,0,0,143,0,0,2019-01-31 23:42:07
