timestamp,distance,altitude,heart_rate,cadence,fractional_cadence,key
2019-06-18T00:04:16Z,0,NA,86,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:17Z,0,NA,86,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:18Z,0,NA,85,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:19Z,0,NA,85,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:20Z,0,NA,85,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:21Z,0,NA,85,0,0,2019-06-18 00:02:08
2019-06-18T00:04:22Z,0,NA,85,0,0,2019-06-18 00:02:08
2019-06-18T00:04:23Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:24Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:25Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:26Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:27Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:28Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:29Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:30Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:04:31Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:04:32Z,0,NA,83,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:33Z,0,NA,83,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:34Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:04:35Z,0,NA,78,0,0,2019-06-18 00:02:08
2019-06-18T00:04:36Z,0,NA,74,0,0,2019-06-18 00:02:08
2019-06-18T00:04:37Z,0,NA,75,0,0,2019-06-18 00:02:08
2019-06-18T00:04:38Z,0,NA,75,0,0,2019-06-18 00:02:08
2019-06-18T00:04:39Z,0,NA,78,0,0,2019-06-18 00:02:08
2019-06-18T00:04:40Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:04:41Z,0,NA,88,0,0,2019-06-18 00:02:08
2019-06-18T00:04:42Z,0,NA,90,0,0,2019-06-18 00:02:08
2019-06-18T00:04:43Z,0,NA,91,0,0,2019-06-18 00:02:08
2019-06-18T00:04:44Z,0,NA,91,0,0,2019-06-18 00:02:08
2019-06-18T00:04:45Z,0,NA,92,0,0,2019-06-18 00:02:08
2019-06-18T00:04:46Z,0,NA,93,0,0,2019-06-18 00:02:08
2019-06-18T00:04:47Z,0,NA,96,0,0,2019-06-18 00:02:08
2019-06-18T00:04:48Z,0,NA,99,0,0,2019-06-18 00:02:08
2019-06-18T00:04:49Z,0,NA,104,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:50Z,0,NA,108,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:51Z,0,NA,108,0,0,2019-06-18 00:02:08
2019-06-18T00:04:52Z,0,NA,108,0,0,2019-06-18 00:02:08
2019-06-18T00:04:53Z,0,NA,110,0,0,2019-06-18 00:02:08
