timestamp,distance,speed,heart_rate,cadence,fractional_cadence,time_elapsed,key
2021-12-09T22:54:20Z,418.81,3.704,131,83,0.5,106,7938511640
2021-12-09T22:54:21Z,422.5,3.695,131,83,0.5,107,7938511640
2021-12-09T22:54:22Z,426.19,3.686,131,83,0.5,108,7938511640
2021-12-09T22:54:23Z,429.97,3.779,131,84,0.5,109,7938511640
2021-12-09T22:54:24Z,433.76,3.798,131,84,0.5,110,7938511640
2021-12-09T22:54:25Z,437.58,3.816,131,84,0,111,7938511640
2021-12-09T22:54:26Z,441.38,3.798,131,84,0,112,7938511640
2021-12-09T22:54:27Z,445.16,3.779,132,83,0,113,7938511640
2021-12-09T22:54:28Z,448.96,3.798,132,83,0,114,7938511640
2021-12-09T22:54:29Z,452.87,3.91,132,83,0,115,7938511640
2021-12-09T22:54:30Z,456.96,4.096,132,84,0,116,7938511640
2021-12-09T22:54:31Z,461.15,4.189,132,84,0,117,7938511640
2021-12-09T22:54:32Z,465.26,4.106,131,83,0.5,118,7938511640
2021-12-09T22:54:33Z,469.2,3.947,131,83,0,119,7938511640
2021-12-09T22:54:34Z,473.04,3.835,131,83,0,120,7938511640
2021-12-09T22:54:35Z,476.79,3.751,131,83,0,121,7938511640
2021-12-09T22:54:36Z,480.58,3.788,131,83,0,122,7938511640
2021-12-09T22:54:37Z,484.39,3.816,130,83,0.5,123,7938511640
2021-12-09T22:54:38Z,488.22,3.826,130,83,0.5,124,7938511640
2021-12-09T22:54:39Z,492.06,3.835,130,83,0.5,125,7938511640
2021-12-09T22:54:40Z,495.9,3.844,130,83,0.5,126,7938511640
2021-12-09T22:54:41Z,499.77,3.872,130,83,0.5,127,7938511640
2021-12-09T22:54:42Z,503.58,3.807,131,83,0.5,128,7938511640
2021-12-09T22:54:43Z,507.35,3.77,131,83,0.5,129,7938511640
2021-12-09T22:54:44Z,511.14,3.798,132,83,0.5,130,7938511640
2021-12-09T22:54:45Z,514.97,3.826,132,83,0.5,131,7938511640
2021-12-09T22:54:46Z,518.76,3.788,132,83,0.5,132,7938511640
2021-12-09T22:54:47Z,522.43,3.676,132,83,0.5,133,7938511640
2021-12-09T22:54:48Z,525.97,3.536,132,83,0.5,134,7938511640
2021-12-09T22:54:49Z,529.42,3.452,133,84,0.5,135,7938511640
2021-12-09T22:54:50Z,532.93,3.508,133,84,0.5,136,7938511640
2021-12-09T22:54:51Z,536.47,3.536,133,84,0.5,137,7938511640
2021-12-09T22:54:52Z,540.11,3.639,133,84,0.5,138,7938511640
2021-12-09T22:54:53Z,543.81,3.704,132,84,0.5,139,7938511640
2021-12-09T22:54:54Z,547.56,3.751,132,83,0.5,140,7938511640
2021-12-09T22:54:55Z,551.34,3.779,132,83,0,141,7938511640
2021-12-09T22:54:56Z,555.14,3.798,132,83,0,142,7938511640
2021-12-09T22:54:57Z,558.96,3.826,131,83,0.5,143,7938511640
2021-12-09T22:54:58Z,562.73,3.77,131,83,0.5,144,7938511640
2021-12-09T22:54:59Z,566.46,3.723,131,83,0.5,145,7938511640
2021-12-09T22:55:00Z,570.1,3.639,131,83,0.5,146,7938511640
2021-12-09T22:55:01Z,573.7,3.602,131,83,0.5,147,7938511640
2021-12-09T22:55:02Z,577.31,3.611,131,84,0.5,148,7938511640
2021-12-09T22:55:03Z,580.98,3.667,131,84,0.5,149,7938511640
2021-12-09T22:55:04Z,584.68,3.704,131,84,0.5,150,7938511640
2021-12-09T22:55:05Z,588.38,3.704,131,84,0.5,151,7938511640
2021-12-09T22:55:06Z,592.12,3.732,131,83,0,152,7938511640
2021-12-09T22:55:07Z,595.87,3.751,131,83,0,153,7938511640
2021-12-09T22:55:08Z,599.74,3.872,131,83,0,154,7938511640
2021-12-09T22:55:09Z,603.74,4.003,131,84,0,155,7938511640
2021-12-09T22:55:10Z,607.74,3.994,131,84,0,156,7938511640
2021-12-09T22:55:11Z,611.64,3.9,132,83,0,157,7938511640
2021-12-09T22:55:12Z,615.44,3.807,132,83,0,158,7938511640
2021-12-09T22:55:13Z,619.17,3.732,132,83,0,159,7938511640
2021-12-09T22:55:14Z,622.86,3.686,132,83,0,160,7938511640
2021-12-09T22:55:15Z,626.52,3.658,132,83,0,161,7938511640
2021-12-09T22:55:16Z,630.15,3.63,133,83,0,162,7938511640
2021-12-09T22:55:17Z,633.75,3.602,133,83,0,163,7938511640
2021-12-09T22:55:18Z,637.3,3.555,131,83,0,164,7938511640
2021-12-09T22:55:19Z,640.84,3.536,130,83,0,165,7938511640
2021-12-09T22:55:20Z,644.39,3.546,129,83,0,166,7938511640
2021-12-09T22:55:21Z,648.01,3.62,129,83,0,167,7938511640
2021-12-09T22:55:22Z,651.69,3.686,129,83,0,168,7938511640
2021-12-09T22:55:23Z,655.36,3.667,129,83,0,169,7938511640
2021-12-09T22:55:24Z,659.01,3.648,129,82,0,170,7938511640
2021-12-09T22:55:25Z,662.63,3.62,129,82,0,171,7938511640
2021-12-09T22:55:26Z,666.23,3.602,129,83,0,172,7938511640
2021-12-09T22:55:27Z,669.83,3.602,130,83,0.5,173,7938511640
2021-12-09T22:55:28Z,673.51,3.676,130,84,0.5,174,7938511640
2021-12-09T22:55:29Z,677.17,3.667,130,84,0.5,175,7938511640
2021-12-09T22:55:30Z,680.8,3.63,130,84,0,176,7938511640
2021-12-09T22:55:31Z,684.41,3.602,129,84,0,177,7938511640
2021-12-09T22:55:32Z,688.02,3.611,128,84,0,178,7938511640
2021-12-09T22:55:33Z,691.82,3.807,128,83,0,179,7938511640
2021-12-09T22:55:34Z,695.79,3.966,130,83,0,180,7938511640
2021-12-09T22:55:35Z,699.87,4.078,130,83,0,181,7938511640
2021-12-09T22:55:36Z,704.01,4.143,131,84,0,182,7938511640
2021-12-09T22:55:37Z,708.11,4.096,131,84,0,183,7938511640
2021-12-09T22:55:38Z,712.18,4.068,132,83,0,184,7938511640
2021-12-09T22:55:39Z,716.17,3.994,132,83,0,185,7938511640
2021-12-09T22:55:40Z,720.13,3.966,133,83,0,186,7938511640
2021-12-09T22:55:41Z,724.2,4.068,133,83,0.5,187,7938511640
2021-12-09T22:55:42Z,728.33,4.133,134,83,0.5,188,7938511640
2021-12-09T22:55:43Z,732.51,4.171,134,84,0,189,7938511640
2021-12-09T22:55:44Z,736.64,4.133,134,84,0,190,7938511640
2021-12-09T22:55:45Z,740.67,4.031,134,83,0,191,7938511640
2021-12-09T22:55:46Z,744.6,3.928,134,83,0,192,7938511640
2021-12-09T22:55:47Z,748.53,3.928,133,83,0,193,7938511640
2021-12-09T22:55:48Z,752.44,3.91,133,83,0,194,7938511640
2021-12-09T22:55:49Z,756.42,3.984,134,83,0,195,7938511640
2021-12-09T22:55:50Z,760.46,4.04,134,84,0,196,7938511640
2021-12-09T22:55:51Z,764.49,4.022,134,84,0,197,7938511640
2021-12-09T22:55:52Z,768.4,3.919,134,84,0,198,7938511640
2021-12-09T22:55:53Z,772.32,3.919,134,83,0,199,7938511640
2021-12-09T22:55:54Z,776.17,3.854,134,83,0,200,7938511640
2021-12-09T22:55:55Z,780.04,3.863,134,83,0,201,7938511640
2021-12-09T22:55:56Z,783.9,3.863,135,84,0,202,7938511640
2021-12-09T22:55:57Z,787.77,3.872,135,84,0,203,7938511640
2021-12-09T22:55:58Z,791.61,3.835,134,84,0,204,7938511640
2021-12-09T22:55:59Z,795.36,3.751,135,83,0,205,7938511640
2021-12-09T22:56:00Z,799.03,3.676,136,83,0,206,7938511640
2021-12-09T22:56:01Z,802.66,3.63,137,83,0,207,7938511640
2021-12-09T22:56:02Z,806.36,3.695,137,83,0,208,7938511640
2021-12-09T22:56:03Z,810.1,3.742,137,83,0,209,7938511640
2021-12-09T22:56:04Z,813.87,3.77,137,83,0,210,7938511640
2021-12-09T22:56:05Z,817.61,3.742,137,83,0,211,7938511640
2021-12-09T22:56:06Z,821.38,3.77,136,83,0,212,7938511640
2021-12-09T22:56:07Z,825.17,3.788,135,83,0,213,7938511640
2021-12-09T22:56:08Z,828.97,3.798,135,83,0,214,7938511640
2021-12-09T22:56:09Z,832.74,3.77,134,83,0,215,7938511640
2021-12-09T22:56:10Z,836.48,3.742,134,83,0,216,7938511640
2021-12-09T22:56:11Z,840.19,3.714,134,83,0,217,7938511640
2021-12-09T22:56:12Z,843.87,3.676,133,83,0,218,7938511640
2021-12-09T22:56:13Z,847.58,3.714,133,83,0,219,7938511640
2021-12-09T22:56:14Z,851.31,3.732,132,83,0,220,7938511640
2021-12-09T22:56:15Z,855.14,3.826,132,83,0.5,221,7938511640
2021-12-09T22:56:16Z,858.97,3.835,132,83,0.5,222,7938511640
2021-12-09T22:56:17Z,862.82,3.844,131,84,0.5,223,7938511640
2021-12-09T22:56:18Z,866.68,3.863,132,84,0.5,224,7938511640
2021-12-09T22:56:19Z,870.56,3.882,133,84,0,225,7938511640
2021-12-09T22:56:20Z,874.41,3.844,133,84,0,226,7938511640
2021-12-09T22:56:21Z,878.21,3.807,134,84,0,227,7938511640
2021-12-09T22:56:22Z,881.99,3.779,134,84,0,228,7938511640
2021-12-09T22:56:23Z,885.75,3.76,135,84,0,229,7938511640
2021-12-09T22:56:24Z,889.54,3.788,134,84,0,230,7938511640
2021-12-09T22:56:25Z,893.36,3.816,135,84,0,231,7938511640
2021-12-09T22:56:26Z,897.2,3.844,135,84,0,232,7938511640
