time,rr,time_sec,key,time_created
0.421,0.421,104.282,8828514774,2022_05_15_08_26_58
0.854,0.854,105.136,8828514774,2022_05_15_08_26_58
0.444,0.444,105.58,8828514774,2022_05_15_08_26_58
0.435,0.435,106.015,8828514774,2022_05_15_08_26_58
0.838,0.838,106.853,8828514774,2022_05_15_08_26_58
0.862,0.862,107.715,8828514774,2022_05_15_08_26_58
0.434,0.434,108.149,8828514774,2022_05_15_08_26_58
0.428,0.428,108.577,8828514774,2022_05_15_08_26_58
0.423,0.423,109,8828514774,2022_05_15_08_26_58
0.438,0.438,109.438,8828514774,2022_05_15_08_26_58
0.429,0.429,109.867,8828514774,2022_05_15_08_26_58
0.42,0.42,110.287,8828514774,2022_05_15_08_26_58
0.868,0.868,111.155,8828514774,2022_05_15_08_26_58
0.424,0.424,111.579,8828514774,2022_05_15_08_26_58
0.86,0.86,112.439,8828514774,2022_05_15_08_26_58
0.428,0.428,112.867,8828514774,2022_05_15_08_26_58
0.427,0.427,113.294,8828514774,2022_05_15_08_26_58
0.41,0.41,113.704,8828514774,2022_05_15_08_26_58
0.869,0.869,114.573,8828514774,2022_05_15_08_26_58
0.424,0.424,114.997,8828514774,2022_05_15_08_26_58
1.286,1.286,116.283,8828514774,2022_05_15_08_26_58
0.831,0.831,117.114,8828514774,2022_05_15_08_26_58
0.44,0.44,117.554,8828514774,2022_05_15_08_26_58
0.419,0.419,117.973,8828514774,2022_05_15_08_26_58
0.855,0.855,118.828,8828514774,2022_05_15_08_26_58
0.415,0.415,119.243,8828514774,2022_05_15_08_26_58
1.285,1.285,120.528,8828514774,2022_05_15_08_26_58
2.121,2.121,122.649,8828514774,2022_05_15_08_26_58
0.729,0.729,123.378,8828514774,2022_05_15_08_26_58
0.55,0.55,123.928,8828514774,2022_05_15_08_26_58
0.42,0.42,124.348,8828514774,2022_05_15_08_26_58
0.848,0.848,125.196,8828514774,2022_05_15_08_26_58
0.862,0.862,126.05799999999999,8828514774,2022_05_15_08_26_58
0.416,0.416,126.474,8828514774,2022_05_15_08_26_58
0.84,0.84,127.314,8828514774,2022_05_15_08_26_58
0.283,0.283,127.597,8828514774,2022_05_15_08_26_58
0.576,0.576,128.173,8828514774,2022_05_15_08_26_58
0.418,0.418,128.591,8828514774,2022_05_15_08_26_58
0.439,0.439,129.03,8828514774,2022_05_15_08_26_58
0.431,0.431,129.461,8828514774,2022_05_15_08_26_58
0.85,0.85,130.311,8828514774,2022_05_15_08_26_58
0.409,0.409,130.72,8828514774,2022_05_15_08_26_58
0.853,0.853,131.573,8828514774,2022_05_15_08_26_58
0.42,0.42,131.993,8828514774,2022_05_15_08_26_58
0.425,0.425,132.418,8828514774,2022_05_15_08_26_58
0.867,0.867,133.285,8828514774,2022_05_15_08_26_58
0.412,0.412,133.697,8828514774,2022_05_15_08_26_58
0.427,0.427,134.124,8828514774,2022_05_15_08_26_58
0.736,0.736,134.85999999999999,8828514774,2022_05_15_08_26_58
0.547,0.547,135.407,8828514774,2022_05_15_08_26_58
0.424,0.424,135.831,8828514774,2022_05_15_08_26_58
0.418,0.418,136.249,8828514774,2022_05_15_08_26_58
0.849,0.849,137.098,8828514774,2022_05_15_08_26_58
0.426,0.426,137.524,8828514774,2022_05_15_08_26_58
0.421,0.421,137.945,8828514774,2022_05_15_08_26_58
1.269,1.269,139.214,8828514774,2022_05_15_08_26_58
2.117,2.117,141.331,8828514774,2022_05_15_08_26_58
0.423,0.423,141.754,8828514774,2022_05_15_08_26_58
0.412,0.412,142.166,8828514774,2022_05_15_08_26_58
0.855,0.855,143.021,8828514774,2022_05_15_08_26_58
0.29,0.29,143.311,8828514774,2022_05_15_08_26_58
0.329,0.329,143.64,8828514774,2022_05_15_08_26_58
1.926,1.926,145.566,8828514774,2022_05_15_08_26_58
0.42,0.42,145.986,8828514774,2022_05_15_08_26_58
1.271,1.271,147.257,8828514774,2022_05_15_08_26_58
0.838,0.838,148.095,8828514774,2022_05_15_08_26_58
0.424,0.424,148.519,8828514774,2022_05_15_08_26_58
0.686,0.686,149.205,8828514774,2022_05_15_08_26_58
1.412,1.412,150.617,8828514774,2022_05_15_08_26_58
0.434,0.434,151.051,8828514774,2022_05_15_08_26_58
0.427,0.427,151.478,8828514774,2022_05_15_08_26_58
0.41,0.41,151.888,8828514774,2022_05_15_08_26_58
0.424,0.424,152.312,8828514774,2022_05_15_08_26_58
0.862,0.862,153.174,8828514774,2022_05_15_08_26_58
0.431,0.431,153.605,8828514774,2022_05_15_08_26_58
0.261,0.261,153.86599999999999,8828514774,2022_05_15_08_26_58
0.576,0.576,154.442,8828514774,2022_05_15_08_26_58
0.859,0.859,155.301,8828514774,2022_05_15_08_26_58
0.848,0.848,156.149,8828514774,2022_05_15_08_26_58
0.414,0.414,156.563,8828514774,2022_05_15_08_26_58
0.31,0.31,156.873,8828514774,2022_05_15_08_26_58
0.558,0.558,157.431,8828514774,2022_05_15_08_26_58
0.42,0.42,157.851,8828514774,2022_05_15_08_26_58
1.281,1.281,159.132,8828514774,2022_05_15_08_26_58
1.696,1.696,160.828,8828514774,2022_05_15_08_26_58
0.422,0.422,161.25,8828514774,2022_05_15_08_26_58
0.85,0.85,162.1,8828514774,2022_05_15_08_26_58
0.431,0.431,162.531,8828514774,2022_05_15_08_26_58
0.43,0.43,162.96099999999998,8828514774,2022_05_15_08_26_58
0.848,0.848,163.809,8828514774,2022_05_15_08_26_58
0.415,0.415,164.224,8828514774,2022_05_15_08_26_58
0.436,0.436,164.66,8828514774,2022_05_15_08_26_58
0.427,0.427,165.087,8828514774,2022_05_15_08_26_58
0.423,0.423,165.51,8828514774,2022_05_15_08_26_58
0.422,0.422,165.932,8828514774,2022_05_15_08_26_58
0.846,0.846,166.778,8828514774,2022_05_15_08_26_58
0.421,0.421,167.199,8828514774,2022_05_15_08_26_58
1.153,1.153,168.352,8828514774,2022_05_15_08_26_58
0.563,0.563,168.915,8828514774,2022_05_15_08_26_58
1.186,1.186,170.101,8828514774,2022_05_15_08_26_58
0.519,0.519,170.62,8828514774,2022_05_15_08_26_58
0.42,0.42,171.04,8828514774,2022_05_15_08_26_58
0.426,0.426,171.466,8828514774,2022_05_15_08_26_58
0.408,0.408,171.874,8828514774,2022_05_15_08_26_58
0.314,0.314,172.188,8828514774,2022_05_15_08_26_58
0.549,0.549,172.737,8828514774,2022_05_15_08_26_58
0.858,0.858,173.595,8828514774,2022_05_15_08_26_58
0.867,0.867,174.462,8828514774,2022_05_15_08_26_58
0.843,0.843,175.305,8828514774,2022_05_15_08_26_58
0.385,0.385,175.69,8828514774,2022_05_15_08_26_58
0.922,0.922,176.612,8828514774,2022_05_15_08_26_58
0.414,0.414,177.026,8828514774,2022_05_15_08_26_58
0.43,0.43,177.456,8828514774,2022_05_15_08_26_58
0.435,0.435,177.891,8828514774,2022_05_15_08_26_58
0.433,0.433,178.32399999999998,8828514774,2022_05_15_08_26_58
0.856,0.856,179.18,8828514774,2022_05_15_08_26_58
1.288,1.288,180.468,8828514774,2022_05_15_08_26_58
0.424,0.424,180.892,8828514774,2022_05_15_08_26_58
1.711,1.711,182.603,8828514774,2022_05_15_08_26_58
0.416,0.416,183.019,8828514774,2022_05_15_08_26_58
0.446,0.446,183.465,8828514774,2022_05_15_08_26_58
0.851,0.851,184.316,8828514774,2022_05_15_08_26_58
1.295,1.295,185.611,8828514774,2022_05_15_08_26_58
0.424,0.424,186.035,8828514774,2022_05_15_08_26_58
1.283,1.283,187.318,8828514774,2022_05_15_08_26_58
0.423,0.423,187.74099999999999,8828514774,2022_05_15_08_26_58
1.121,1.121,188.862,8828514774,2022_05_15_08_26_58
0.995,0.995,189.857,8828514774,2022_05_15_08_26_58
0.426,0.426,190.283,8828514774,2022_05_15_08_26_58
0.43,0.43,190.713,8828514774,2022_05_15_08_26_58
0.418,0.418,191.131,8828514774,2022_05_15_08_26_58
0.427,0.427,191.558,8828514774,2022_05_15_08_26_58
0.409,0.409,191.96699999999998,8828514774,2022_05_15_08_26_58
0.874,0.874,192.841,8828514774,2022_05_15_08_26_58
0.419,0.419,193.26,8828514774,2022_05_15_08_26_58
0.546,0.546,193.806,8828514774,2022_05_15_08_26_58
1.153,1.153,194.959,8828514774,2022_05_15_08_26_58
1.26,1.26,196.219,8828514774,2022_05_15_08_26_58
0.429,0.429,196.648,8828514774,2022_05_15_08_26_58
0.839,0.839,197.487,8828514774,2022_05_15_08_26_58
1.268,1.268,198.755,8828514774,2022_05_15_08_26_58
0.424,0.424,199.179,8828514774,2022_05_15_08_26_58
1.685,1.685,200.864,8828514774,2022_05_15_08_26_58
1.253,1.253,202.117,8828514774,2022_05_15_08_26_58
0.425,0.425,202.542,8828514774,2022_05_15_08_26_58
1.247,1.247,203.789,8828514774,2022_05_15_08_26_58
0.852,0.852,204.641,8828514774,2022_05_15_08_26_58
0.425,0.425,205.066,8828514774,2022_05_15_08_26_58
0.417,0.417,205.483,8828514774,2022_05_15_08_26_58
1.265,1.265,206.748,8828514774,2022_05_15_08_26_58
0.42,0.42,207.168,8828514774,2022_05_15_08_26_58
0.421,0.421,207.589,8828514774,2022_05_15_08_26_58
0.413,0.413,208.002,8828514774,2022_05_15_08_26_58
0.85,0.85,208.852,8828514774,2022_05_15_08_26_58
0.418,0.418,209.27,8828514774,2022_05_15_08_26_58
0.821,0.821,210.091,8828514774,2022_05_15_08_26_58
2.105,2.105,212.196,8828514774,2022_05_15_08_26_58
0.341,0.341,212.537,8828514774,2022_05_15_08_26_58
0.513,0.513,213.05,8828514774,2022_05_15_08_26_58
0.421,0.421,213.471,8828514774,2022_05_15_08_26_58
0.416,0.416,213.887,8828514774,2022_05_15_08_26_58
0.847,0.847,214.734,8828514774,2022_05_15_08_26_58
0.424,0.424,215.158,8828514774,2022_05_15_08_26_58
0.429,0.429,215.587,8828514774,2022_05_15_08_26_58
0.424,0.424,216.011,8828514774,2022_05_15_08_26_58
0.413,0.413,216.424,8828514774,2022_05_15_08_26_58
0.854,0.854,217.278,8828514774,2022_05_15_08_26_58
0.424,0.424,217.702,8828514774,2022_05_15_08_26_58
0.831,0.831,218.533,8828514774,2022_05_15_08_26_58
0.86,0.86,219.393,8828514774,2022_05_15_08_26_58
0.428,0.428,219.821,8828514774,2022_05_15_08_26_58
0.421,0.421,220.242,8828514774,2022_05_15_08_26_58
0.854,0.854,221.096,8828514774,2022_05_15_08_26_58
0.424,0.424,221.52,8828514774,2022_05_15_08_26_58
2.967,2.967,224.487,8828514774,2022_05_15_08_26_58
2.129,2.129,226.61599999999999,8828514774,2022_05_15_08_26_58
0.419,0.419,227.035,8828514774,2022_05_15_08_26_58
0.412,0.412,227.447,8828514774,2022_05_15_08_26_58
0.869,0.869,228.316,8828514774,2022_05_15_08_26_58
0.418,0.418,228.734,8828514774,2022_05_15_08_26_58
0.841,0.841,229.575,8828514774,2022_05_15_08_26_58
0.438,0.438,230.013,8828514774,2022_05_15_08_26_58
0.427,0.427,230.44,8828514774,2022_05_15_08_26_58
0.838,0.838,231.278,8828514774,2022_05_15_08_26_58
0.856,0.856,232.134,8828514774,2022_05_15_08_26_58
0.427,0.427,232.561,8828514774,2022_05_15_08_26_58
0.415,0.415,232.976,8828514774,2022_05_15_08_26_58
0.412,0.412,233.388,8828514774,2022_05_15_08_26_58
0.423,0.423,233.811,8828514774,2022_05_15_08_26_58
0.44,0.44,234.251,8828514774,2022_05_15_08_26_58
0.423,0.423,234.674,8828514774,2022_05_15_08_26_58
0.419,0.419,235.093,8828514774,2022_05_15_08_26_58
0.427,0.427,235.52,8828514774,2022_05_15_08_26_58
0.427,0.427,235.947,8828514774,2022_05_15_08_26_58
0.429,0.429,236.376,8828514774,2022_05_15_08_26_58
0.425,0.425,236.801,8828514774,2022_05_15_08_26_58
0.419,0.419,237.22,8828514774,2022_05_15_08_26_58
1.705,1.705,238.925,8828514774,2022_05_15_08_26_58
0.422,0.422,239.347,8828514774,2022_05_15_08_26_58
1.288,1.288,240.635,8828514774,2022_05_15_08_26_58
0.422,0.422,241.057,8828514774,2022_05_15_08_26_58
1.277,1.277,242.334,8828514774,2022_05_15_08_26_58
0.43,0.43,242.764,8828514774,2022_05_15_08_26_58
0.834,0.834,243.59799999999998,8828514774,2022_05_15_08_26_58
0.434,0.434,244.032,8828514774,2022_05_15_08_26_58
0.429,0.429,244.46099999999998,8828514774,2022_05_15_08_26_58
0.425,0.425,244.886,8828514774,2022_05_15_08_26_58
0.464,0.464,245.35,8828514774,2022_05_15_08_26_58
0.363,0.363,245.713,8828514774,2022_05_15_08_26_58
0.872,0.872,246.585,8828514774,2022_05_15_08_26_58
0.417,0.417,247.002,8828514774,2022_05_15_08_26_58
0.838,0.838,247.84,8828514774,2022_05_15_08_26_58
0.438,0.438,248.278,8828514774,2022_05_15_08_26_58
0.43,0.43,248.708,8828514774,2022_05_15_08_26_58
0.846,0.846,249.554,8828514774,2022_05_15_08_26_58
0.421,0.421,249.975,8828514774,2022_05_15_08_26_58
1.281,1.281,251.256,8828514774,2022_05_15_08_26_58
2.11,2.11,253.36599999999999,8828514774,2022_05_15_08_26_58
0.421,0.421,253.787,8828514774,2022_05_15_08_26_58
0.419,0.419,254.206,8828514774,2022_05_15_08_26_58
0.84,0.84,255.046,8828514774,2022_05_15_08_26_58
0.43,0.43,255.476,8828514774,2022_05_15_08_26_58
0.423,0.423,255.899,8828514774,2022_05_15_08_26_58
0.406,0.406,256.305,8828514774,2022_05_15_08_26_58
0.323,0.323,256.628,8828514774,2022_05_15_08_26_58
0.538,0.538,257.166,8828514774,2022_05_15_08_26_58
0.415,0.415,257.581,8828514774,2022_05_15_08_26_58
0.822,0.822,258.403,8828514774,2022_05_15_08_26_58
0.437,0.437,258.84,8828514774,2022_05_15_08_26_58
0.422,0.422,259.262,8828514774,2022_05_15_08_26_58
0.416,0.416,259.678,8828514774,2022_05_15_08_26_58
0.42,0.42,260.098,8828514774,2022_05_15_08_26_58
0.414,0.414,260.512,8828514774,2022_05_15_08_26_58
0.846,0.846,261.358,8828514774,2022_05_15_08_26_58
0.42,0.42,261.778,8828514774,2022_05_15_08_26_58
0.83,0.83,262.608,8828514774,2022_05_15_08_26_58
0.843,0.843,263.451,8828514774,2022_05_15_08_26_58
0.42,0.42,263.871,8828514774,2022_05_15_08_26_58
1.245,1.245,265.116,8828514774,2022_05_15_08_26_58
0.423,0.423,265.539,8828514774,2022_05_15_08_26_58
0.421,0.421,265.96,8828514774,2022_05_15_08_26_58
0.415,0.415,266.375,8828514774,2022_05_15_08_26_58
1.237,1.237,267.612,8828514774,2022_05_15_08_26_58
0.433,0.433,268.045,8828514774,2022_05_15_08_26_58
0.409,0.409,268.454,8828514774,2022_05_15_08_26_58
0.426,0.426,268.88,8828514774,2022_05_15_08_26_58
0.409,0.409,269.289,8828514774,2022_05_15_08_26_58
0.86,0.86,270.149,8828514774,2022_05_15_08_26_58
0.429,0.429,270.578,8828514774,2022_05_15_08_26_58
