"ID","timestamp","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed"
"2021_04_03 08_14_44",2021-04-03 13:21:07,271.2,84,215.27,0.5,141,45.0144595373422,-93.1492965202779,3.34
"2021_04_03 08_14_44",2021-04-03 13:21:08,271.2,83,218.71,0.5,140,45.0144686736166,-93.149254694581,3.331
"2021_04_03 08_14_44",2021-04-03 13:21:09,271.2,83,222.52,0.5,141,45.014474960044,-93.149207001552,3.322
"2021_04_03 08_14_44",2021-04-03 13:21:10,271.4,84,226.52,0.5,141,45.0144788995385,-93.1491562072188,3.322
"2021_04_03 08_14_44",2021-04-03 13:21:11,271.4,84,230.36,0.5,142,45.0144822522998,-93.1491070892662,3.331
"2021_04_03 08_14_44",2021-04-03 13:21:12,271.6,84,234.17,0.5,142,45.0144835934043,-93.1490585580468,3.34
"2021_04_03 08_14_44",2021-04-03 13:21:13,271.8,84,237.62,0.5,142,45.0144847668707,-93.1490143854171,3.34
"2021_04_03 08_14_44",2021-04-03 13:21:14,271.8,84,241.02,0.5,143,45.0144862756133,-93.1489710509777,3.34
"2021_04_03 08_14_44",2021-04-03 13:21:15,271.8,84,244.39,0.5,143,45.0144894607365,-93.1489284709096,3.34
"2021_04_03 08_14_44",2021-04-03 13:21:16,272.2,84,247.9,0.5,143,45.0144894607365,-93.1488837953657,3.331
"2021_04_03 08_14_44",2021-04-03 13:21:17,272.2,84,251.41,0.5,144,45.0144903827459,-93.1488391198218,3.331
"2021_04_03 08_14_44",2021-04-03 13:21:18,272.4,85,254.81,0.5,144,45.0144942384213,-93.1487962882966,3.331
"2021_04_03 08_14_44",2021-04-03 13:21:19,272.6,85,259.07,0.5,144,45.014493400231,-93.1487416382879,3.331
"2021_04_03 08_14_44",2021-04-03 13:21:20,272.8,84,262.78,0.5,144,45.0144970044494,-93.1486947834492,3.331
"2021_04_03 08_14_44",2021-04-03 13:21:21,272.8,84,266.27,0.5,144,45.0144999381155,-93.1486506108195,3.35
"2021_04_03 08_14_44",2021-04-03 13:21:22,272.8,84,270.09,0.5,144,45.0144990161061,-93.1486019957811,3.35
"2021_04_03 08_14_44",2021-04-03 13:21:23,273,84,273.74,0.5,145,45.0145008601248,-93.1485558114946,3.35
"2021_04_03 08_14_44",2021-04-03 13:21:24,273,84,277.52,0.5,145,45.0145022850484,-93.1485078670084,3.359
"2021_04_03 08_14_44",2021-04-03 13:21:25,273,84,281.34,0.5,145,45.0145026203245,-93.1484593357891,3.368
"2021_04_03 08_14_44",2021-04-03 13:21:26,273,84,284.93,0.5,145,45.0145024526864,-93.1484136544168,3.368
"2021_04_03 08_14_44",2021-04-03 13:21:27,273,84,288.57,0.5,145,45.0145017821342,-93.1483672186732,3.378
"2021_04_03 08_14_44",2021-04-03 13:21:28,273,83,291.95,0.5,145,45.0145032070577,-93.1483241356909,3.378
"2021_04_03 08_14_44",2021-04-03 13:21:29,273.2,83,295.54,0.5,145,45.0145011115819,-93.1482781190425,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:30,273.4,83,299.11,0.5,145,45.0144997704774,-93.1482326053083,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:31,273.4,83,302.46,0.5,145,45.0145007763058,-93.1481899414212,3.387
