"timestamp","position_lat","position_long","distance","altitude","speed","cadence","fractional_cadence","heart_rate"
2021-03-31 12:42:23,44.9800620507449,-93.227387946099,372.64,259.4,3.368,87,0.5,150
2021-03-31 12:42:24,44.9800711870193,-93.2274313643575,376.2,259.2,3.378,86,0.5,149
2021-03-31 12:42:25,44.9800778925419,-93.2274734415114,379.6,259,3.387,86,0.5,149
2021-03-31 12:42:26,44.980086106807,-93.2275183685124,383.26,258.6,3.387,86,0.5,150
2021-03-31 12:42:27,44.9800958298147,-93.2275618705899,386.85,258.6,3.387,86,0.5,150
2021-03-31 12:42:28,44.980107145384,-93.2276052888483,390.48,258.6,3.396,86,0.5,150
2021-03-31 12:42:29,44.9801168683916,-93.2276481203735,394.02,258.4,3.406,86,0.5,150
2021-03-31 12:42:30,44.9801274295896,-93.2276932988316,397.76,258.2,3.406,86,0.5,150
2021-03-31 12:42:31,44.9801353085786,-93.227736633271,401.29,257.8,3.415,85,0.5,150
2021-03-31 12:42:32,44.9801431037486,-93.2277805544436,404.86,257.6,3.415,85,0.5,150
2021-03-31 12:42:33,44.9801524076611,-93.2278253138065,408.53,257.4,3.424,85,0.5,150
2021-03-31 12:42:34,44.9801613762975,-93.2278690673411,412.12,256.8,3.424,86,0.5,150
2021-03-31 12:42:35,44.9801690876484,-93.2279124855995,415.65,256.4,3.434,86,0.5,150
2021-03-31 12:42:36,44.9801776371896,-93.2279537245631,419.04,256,3.434,86,0.5,150
2021-03-31 12:42:37,44.9801879469305,-93.2279963046312,422.58,255.6,3.434,86,0.5,149
2021-03-31 12:42:38,44.9801976699382,-93.2280377112329,426.02,255,3.434,86,0.5,150
2021-03-31 12:42:39,44.9802068062127,-93.2280793692917,429.46,254.6,3.443,86,0.5,150
2021-03-31 12:42:40,44.9802165292203,-93.2281215302646,432.95,254.2,3.443,86,0.5,149
2021-03-31 12:42:41,44.9802270065993,-93.2281641103327,436.5,254.2,3.443,86,0.5,151
2021-03-31 12:42:42,44.9802358075976,-93.2282064389437,439.98,253.8,3.443,86,0.5,150
2021-03-31 12:42:43,44.9802450276911,-93.2282506115735,443.61,253.8,3.452,86,0.5,151
2021-03-31 12:42:44,44.9802512302995,-93.2282958738506,447.24,253.6,3.452,86,0.5,151
2021-03-31 12:42:45,44.9802594445646,-93.2283397950232,450.82,253.6,3.452,86,0.5,151
2021-03-31 12:42:46,44.9802673235536,-93.2283834647387,454.37,253.6,3.462,86,0.5,151
