"ID","ant_device_number","ant_network","ant_transmission_type","battery_status","battery_voltage","cum_operating_time","device_index","device_type","hardware_version","manufacturer","product","serial_number","software_version","source_type","timestamp"
2017-12-30 08:37:45,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.1,"local",2017-12-30 08:02:16
2017-12-30 08:37:45,0,"antplus",0,NA,255.99609375,13204,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-30 08:02:16
2017-12-30 08:37:45,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-30 08:02:16
2017-12-30 08:37:45,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2017-12-30 08:35:45
2017-12-30 08:37:45,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.1,"local",2017-12-30 08:35:45
2017-12-30 08:37:45,0,"antplus",0,NA,255.99609375,15222,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-30 08:35:45
2017-12-30 08:37:45,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-30 08:35:45
2017-12-31 16:29:12,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2017-12-31 16:08:53
2017-12-31 16:29:12,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-31 16:08:53
2017-12-31 16:29:12,0,NA,0,NA,255.99609375,4294967295,NA,10,255,NA,"65535",0,2.21,"local",2017-12-31 16:08:53
2017-12-31 16:29:12,0,"antplus",0,NA,255.99609375,4294967295,NA,120,255,NA,"65535",0,655.35,"antplus",2017-12-31 16:08:58
2017-12-31 16:29:12,0,"antplus",0,NA,255.99609375,23894,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-31 16:09:39
2017-12-31 16:29:12,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2017-12-31 16:28:38
2017-12-31 16:29:12,0,"antplus",0,NA,255.99609375,25046,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-31 16:28:38
2017-12-31 16:29:12,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-31 16:28:38
2017-12-31 16:40:55,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2017-12-31 16:34:07
2017-12-31 16:40:55,0,"antplus",0,NA,255.99609375,25334,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-31 16:34:07
2017-12-31 16:40:55,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-31 16:34:07
2017-12-31 16:40:55,0,NA,0,NA,255.99609375,4294967295,NA,10,255,NA,"65535",0,2.21,"local",2017-12-31 16:36:18
2017-12-31 16:40:55,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2017-12-31 16:39:33
2017-12-31 16:40:55,0,"antplus",0,NA,255.99609375,25672,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-31 16:39:33
2017-12-31 16:40:55,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-31 16:39:33
2018-01-02 14:37:08,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-02 13:52:09
2018-01-02 14:37:08,0,"antplus",0,NA,255.99609375,28846,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2018-01-02 13:52:09
2018-01-02 14:37:08,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-02 13:52:09
2018-01-02 14:37:08,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-02 14:36:54
